"Año","Mes","Comunidad autónoma","Provincia","Número de casos","Número de casos con protección policial"
"Año 2019","Septiembre","Castilla y León","Valladolid","467.0","144.0"
"Año 2019","Septiembre","Castilla y León","Zamora","131.0","62.0"
"Año 2019","Septiembre","Castilla-La Mancha","Albacete","679.0","280.0"
"Año 2019","Septiembre","Castilla-La Mancha","Ciudad Real","740.0","294.0"
"Año 2019","Septiembre","Castilla-La Mancha","Cuenca","379.0","110.0"
"Año 2019","Septiembre","Castilla-La Mancha","Guadalajara","480.0","256.0"
"Año 2019","Septiembre","Castilla-La Mancha","Toledo","1074.0","390.0"
"Año 2019","Septiembre","Cataluña","Barcelona","0.0","0.0"
"Año 2019","Septiembre","Cataluña","Girona","0.0","0.0"
"Año 2019","Septiembre","Cataluña","Lleida","0.0","0.0"
"Año 2019","Septiembre","Cataluña","Tarragona","0.0","0.0"
"Año 2019","Septiembre","Comunitat Valenciana","Alicante/Alacant","3846.0","1883.0"
"Año 2019","Septiembre","Comunitat Valenciana","Castellón/Castelló","971.0","542.0"
"Año 2019","Septiembre","Comunitat Valenciana","Valencia/València","4539.0","2156.0"
"Año 2019","Septiembre","Extremadura","Badajoz","968.0","584.0"
"Año 2019","Septiembre","Extremadura","Cáceres","705.0","308.0"
"Año 2019","Septiembre","Galicia","A Coruña","1595.0","975.0"
"Año 2019","Septiembre","Galicia","Lugo","489.0","231.0"
"Año 2019","Septiembre","Galicia","Ourense","381.0","138.0"
"Año 2019","Septiembre","Galicia","Pontevedra","1112.0","553.0"
"Año 2019","Septiembre","Comunidad de Madrid","Madrid","8441.0","3735.0"
"Año 2019","Septiembre","Región de Murcia","Murcia","2930.0","1621.0"
"Año 2019","Septiembre","Comunidad Foral de Navarra","Navarra","1026.0","532.0"
"Año 2019","Septiembre","País Vasco","Araba/Álava","0.0","0.0"
"Año 2019","Septiembre","País Vasco","Bizkaia","0.0","0.0"
"Año 2019","Septiembre","País Vasco","Gipuzkoa","0.0","0.0"
"Año 2019","Septiembre","La Rioja","La Rioja","441.0","243.0"
"Año 2019","Septiembre","Ceuta","Ceuta","125.0","76.0"
"Año 2019","Septiembre","Melilla","Melilla","142.0","85.0"
"Año 2019","Septiembre","Extranjero","Extranjero","0.0","0.0"
"Año 2019","Octubre","Desconocida","Desconocida","0.0","0.0"
"Año 2019","Octubre","Andalucía","Almería","2109.0","912.0"
"Año 2019","Octubre","Andalucía","Cádiz","2777.0","1529.0"
"Año 2019","Octubre","Andalucía","Córdoba","1007.0","667.0"
"Año 2019","Octubre","Andalucía","Granada","1549.0","916.0"
"Año 2019","Octubre","Andalucía","Huelva","1141.0","510.0"
"Año 2019","Octubre","Andalucía","Jaén","1309.0","734.0"
"Año 2019","Octubre","Andalucía","Málaga","3124.0","1526.0"
"Año 2019","Octubre","Andalucía","Sevilla","3230.0","1776.0"
"Año 2019","Octubre","Aragón","Huesca","267.0","104.0"
"Año 2019","Octubre","Aragón","Teruel","125.0","65.0"
"Año 2019","Octubre","Aragón","Zaragoza","1295.0","643.0"
"Año 2019","Octubre","Principado de Asturias","Asturias","1343.0","584.0"
"Año 2019","Octubre","Illes Balears","Illes Balears","2708.0","1206.0"
"Año 2019","Octubre","Canarias","Las Palmas","1946.0","1042.0"
"Año 2019","Octubre","Canarias","Santa Cruz de Tenerife","2144.0","1365.0"
"Año 2019","Octubre","Cantabria","Cantabria","718.0","330.0"
"Año 2019","Octubre","Castilla y León","Ávila","215.0","116.0"
"Año 2019","Octubre","Castilla y León","Burgos","561.0","276.0"
"Año 2019","Octubre","Castilla y León","León","568.0","268.0"
"Año 2019","Octubre","Castilla y León","Palencia","223.0","124.0"
"Año 2019","Octubre","Castilla y León","Salamanca","304.0","91.0"
"Año 2019","Octubre","Castilla y León","Segovia","178.0","97.0"
"Año 2019","Octubre","Castilla y León","Soria","126.0","39.0"
"Año 2019","Octubre","Castilla y León","Valladolid","469.0","144.0"
"Año 2019","Octubre","Castilla y León","Zamora","131.0","58.0"
"Año 2019","Octubre","Castilla-La Mancha","Albacete","661.0","270.0"
"Año 2019","Octubre","Castilla-La Mancha","Ciudad Real","752.0","327.0"
"Año 2019","Octubre","Castilla-La Mancha","Cuenca","373.0","108.0"
"Año 2019","Octubre","Castilla-La Mancha","Guadalajara","467.0","238.0"
"Año 2019","Octubre","Castilla-La Mancha","Toledo","1103.0","413.0"
"Año 2019","Octubre","Cataluña","Barcelona","0.0","0.0"
"Año 2019","Octubre","Cataluña","Girona","0.0","0.0"
"Año 2019","Octubre","Cataluña","Lleida","0.0","0.0"
"Año 2019","Octubre","Cataluña","Tarragona","0.0","0.0"
"Año 2019","Octubre","Comunitat Valenciana","Alicante/Alacant","3828.0","1866.0"
"Año 2019","Octubre","Comunitat Valenciana","Castellón/Castelló","986.0","543.0"
"Año 2019","Octubre","Comunitat Valenciana","Valencia/València","4495.0","2213.0"
"Año 2019","Octubre","Extremadura","Badajoz","966.0","561.0"
"Año 2019","Octubre","Extremadura","Cáceres","689.0","313.0"
"Año 2019","Octubre","Galicia","A Coruña","1620.0","1016.0"
"Año 2019","Octubre","Galicia","Lugo","474.0","243.0"
"Año 2019","Octubre","Galicia","Ourense","384.0","142.0"
"Año 2019","Octubre","Galicia","Pontevedra","1090.0","560.0"
