"Año","Mes","Comunidad autónoma","Provincia","Altas","Bajas","Usuarias activas"
"Año 2007","Febrero","Cataluña","Lleida","2.0","3.0","31.0"
"Año 2007","Febrero","Cataluña","Tarragona","6.0","3.0","149.0"
"Año 2007","Febrero","Comunitat Valenciana","Alicante/Alacant","26.0","11.0","379.0"
"Año 2007","Febrero","Comunitat Valenciana","Castellón/Castelló","16.0","9.0","191.0"
"Año 2007","Febrero","Comunitat Valenciana","Valencia/València","49.0","13.0","534.0"
"Año 2007","Febrero","Extremadura","Badajoz","10.0","0.0","53.0"
"Año 2007","Febrero","Extremadura","Cáceres","6.0","2.0","39.0"
"Año 2007","Febrero","Galicia","A Coruña","5.0","1.0","132.0"
"Año 2007","Febrero","Galicia","Lugo","2.0","1.0","15.0"
"Año 2007","Febrero","Galicia","Ourense","1.0","-1.0","22.0"
"Año 2007","Febrero","Galicia","Pontevedra","2.0","1.0","52.0"
"Año 2007","Febrero","Comunidad de Madrid","Madrid","32.0","2.0","1238.0"
"Año 2007","Febrero","Región de Murcia","Murcia","4.0","2.0","48.0"
"Año 2007","Febrero","Comunidad Foral de Navarra","Navarra","0.0","0.0","5.0"
"Año 2007","Febrero","País Vasco","Araba/Álava","0.0","0.0","6.0"
"Año 2007","Febrero","País Vasco","Bizkaia","-1.0","1.0","87.0"
"Año 2007","Febrero","País Vasco","Gipuzkoa","0.0","1.0","3.0"
"Año 2007","Febrero","La Rioja","La Rioja","0.0","0.0","1.0"
"Año 2007","Febrero","Ceuta","Ceuta","2.0","0.0","3.0"
"Año 2007","Febrero","Melilla","Melilla","1.0","2.0","7.0"
"Año 2007","Marzo","Andalucía","Almería","2.0","0.0","12.0"
"Año 2007","Marzo","Andalucía","Cádiz","8.0","3.0","210.0"
"Año 2007","Marzo","Andalucía","Córdoba","4.0","0.0","58.0"
"Año 2007","Marzo","Andalucía","Granada","6.0","2.0","167.0"
"Año 2007","Marzo","Andalucía","Huelva","1.0","2.0","65.0"
"Año 2007","Marzo","Andalucía","Jaén","8.0","0.0","60.0"
"Año 2007","Marzo","Andalucía","Málaga","18.0","9.0","272.0"
"Año 2007","Marzo","Andalucía","Sevilla","50.0","14.0","437.0"
"Año 2007","Marzo","Aragón","Huesca","15.0","13.0","24.0"
"Año 2007","Marzo","Aragón","Teruel","6.0","6.0","3.0"
"Año 2007","Marzo","Aragón","Zaragoza","0.0","0.0","1.0"
"Año 2007","Marzo","Principado de Asturias","Asturias","171.0","155.0","334.0"
"Año 2007","Marzo","Illes Balears","Illes Balears","67.0","58.0","134.0"
"Año 2007","Marzo","Canarias","Las Palmas","13.0","12.0","213.0"
"Año 2007","Marzo","Canarias","Santa Cruz de Tenerife","31.0","6.0","348.0"
"Año 2007","Marzo","Cantabria","Cantabria","60.0","52.0","111.0"
"Año 2007","Marzo","Castilla y León","Ávila","5.0","6.0","7.0"
"Año 2007","Marzo","Castilla y León","Burgos","25.0","27.0","23.0"
"Año 2007","Marzo","Castilla y León","León","18.0","16.0","61.0"
"Año 2007","Marzo","Castilla y León","Palencia","7.0","6.0","8.0"
"Año 2007","Marzo","Castilla y León","Salamanca","4.0","3.0","9.0"
"Año 2007","Marzo","Castilla y León","Segovia","13.0","10.0","7.0"
"Año 2007","Marzo","Castilla y León","Soria","12.0","12.0","29.0"
"Año 2007","Marzo","Castilla y León","Valladolid","4.0","3.0","15.0"
"Año 2007","Marzo","Castilla y León","Zamora","7.0","7.0","17.0"
"Año 2007","Marzo","Castilla-La Mancha","Albacete","3.0","0.0","27.0"
"Año 2007","Marzo","Castilla-La Mancha","Ciudad Real","5.0","2.0","56.0"
"Año 2007","Marzo","Castilla-La Mancha","Cuenca","1.0","0.0","12.0"
"Año 2007","Marzo","Castilla-La Mancha","Guadalajara","3.0","0.0","16.0"
"Año 2007","Marzo","Castilla-La Mancha","Toledo","3.0","1.0","57.0"
"Año 2007","Marzo","Cataluña","Barcelona","149.0","114.0","455.0"
"Año 2007","Marzo","Cataluña","Girona","27.0","21.0","72.0"
"Año 2007","Marzo","Cataluña","Lleida","12.0","10.0","33.0"
"Año 2007","Marzo","Cataluña","Tarragona","56.0","42.0","163.0"
"Año 2007","Marzo","Comunitat Valenciana","Alicante/Alacant","31.0","15.0","395.0"
"Año 2007","Marzo","Comunitat Valenciana","Castellón/Castelló","18.0","14.0","195.0"
"Año 2007","Marzo","Comunitat Valenciana","Valencia/València","47.0","16.0","565.0"
"Año 2007","Marzo","Extremadura","Badajoz","2.0","1.0","54.0"
"Año 2007","Marzo","Extremadura","Cáceres","2.0","2.0","39.0"
"Año 2007","Marzo","Galicia","A Coruña","52.0","48.0","136.0"
"Año 2007","Marzo","Galicia","Lugo","4.0","3.0","16.0"
"Año 2007","Marzo","Galicia","Ourense","11.0","13.0","20.0"
"Año 2007","Marzo","Galicia","Pontevedra","29.0","24.0","57.0"
"Año 2007","Marzo","Comunidad de Madrid","Madrid","283.0","239.0","1282.0"
"Año 2007","Marzo","Región de Murcia","Murcia","5.0","2.0","51.0"
"Año 2007","Marzo","Comunidad Foral de Navarra","Navarra","2.0","2.0","5.0"
"Año 2007","Marzo","País Vasco","Araba/Álava","1.0","0.0","7.0"
"Año 2007","Marzo","País Vasco","Bizkaia","32.0","34.0","85.0"
"Año 2007","Marzo","País Vasco","Gipuzkoa","5.0","5.0","3.0"
"Año 2007","Marzo","La Rioja","La Rioja","1.0","0.0","2.0"
"Año 2007","Marzo","Ceuta","Ceuta","2.0","0.0","5.0"
"Año 2007","Marzo","Melilla","Melilla","1.0","0.0","8.0"
"Año 2007","Mayo","Andalucía","Almería","3.0","1.0","14.0"
"Año 2007","Mayo","Andalucía","Cádiz","21.0","21.0","210.0"
"Año 2007","Mayo","Andalucía","Córdoba","6.0","0.0","64.0"
"Año 2007","Mayo","Andalucía","Granada","14.0","10.0","171.0"
"Año 2007","Mayo","Andalucía","Huelva","10.0","4.0","71.0"
"Año 2007","Mayo","Andalucía","Jaén","14.0","1.0","73.0"
"Año 2007","Mayo","Andalucía","Málaga","34.0","26.0","280.0"
"Año 2007","Mayo","Andalucía","Sevilla","42.0","37.0","442.0"
"Año 2007","Mayo","Aragón","Huesca","2.0","1.0","25.0"
"Año 2007","Mayo","Aragón","Teruel","2.0","1.0","4.0"
"Año 2007","Mayo","Aragón","Zaragoza","0.0","0.0","1.0"
"Año 2007","Mayo","Principado de Asturias","Asturias","31.0","16.0","349.0"
"Año 2007","Mayo","Illes Balears","Illes Balears","14.0","11.0","595.0"
"Año 2007","Mayo","Canarias","Las Palmas","28.0","24.0","217.0"
"Año 2007","Mayo","Canarias","Santa Cruz de Tenerife","53.0","23.0","378.0"
"Año 2007","Mayo","Cantabria","Cantabria","21.0","6.0","126.0"
"Año 2007","Mayo","Castilla y León","Ávila","0.0","0.0","7.0"
"Año 2007","Mayo","Castilla y León","Burgos","3.0","2.0","24.0"
"Año 2007","Mayo","Castilla y León","León","10.0","5.0","66.0"
