"Año","Trimestre","Comunidad autónoma","Provincia","Número de órdenes de protección"
"Año 2010","Tercero","País Vasco","Gipuzkoa","88.0"
"Año 2010","Tercero","País Vasco","Bizkaia","128.0"
"Año 2010","Tercero","La Rioja","La Rioja","80.0"
"Año 2010","Tercero","Ceuta","Ceuta","17.0"
"Año 2010","Tercero","Melilla","Melilla","0.0"
"Año 2010","Cuarto","Andalucía","Almería","62.0"
"Año 2010","Cuarto","Andalucía","Cádiz","263.0"
"Año 2010","Cuarto","Andalucía","Córdoba","90.0"
"Año 2010","Cuarto","Andalucía","Granada","87.0"
"Año 2010","Cuarto","Andalucía","Huelva","141.0"
"Año 2010","Cuarto","Andalucía","Jaén","83.0"
"Año 2010","Cuarto","Andalucía","Málaga","258.0"
"Año 2010","Cuarto","Andalucía","Sevilla","382.0"
"Año 2010","Cuarto","Aragón","Huesca","13.0"
"Año 2010","Cuarto","Aragón","Teruel","11.0"
"Año 2010","Cuarto","Aragón","Zaragoza","101.0"
"Año 2010","Cuarto","Principado de Asturias","Asturias","204.0"
"Año 2010","Cuarto","Illes Balears","Illes Balears","215.0"
"Año 2010","Cuarto","Canarias","Las Palmas","333.0"
"Año 2010","Cuarto","Canarias","Santa Cruz de Tenerife","301.0"
"Año 2010","Cuarto","Cantabria","Cantabria","80.0"
"Año 2010","Cuarto","Castilla y León","Ávila","29.0"
"Año 2010","Cuarto","Castilla y León","Burgos","50.0"
"Año 2010","Cuarto","Castilla y León","León","104.0"
"Año 2010","Cuarto","Castilla y León","Palencia","15.0"
"Año 2010","Cuarto","Castilla y León","Salamanca","17.0"
"Año 2010","Cuarto","Castilla y León","Segovia","12.0"
"Año 2010","Cuarto","Castilla y León","Soria","23.0"
"Año 2010","Cuarto","Castilla y León","Valladolid","160.0"
"Año 2010","Cuarto","Castilla y León","Zamora","25.0"
"Año 2010","Cuarto","Castilla-La Mancha","Albacete","70.0"
"Año 2010","Cuarto","Castilla-La Mancha","Ciudad Real","125.0"
"Año 2010","Cuarto","Castilla-La Mancha","Cuenca","35.0"
"Año 2010","Cuarto","Castilla-La Mancha","Guadalajara","52.0"
"Año 2010","Cuarto","Castilla-La Mancha","Toledo","204.0"
"Año 2010","Cuarto","Cataluña","Barcelona","885.0"
"Año 2010","Cuarto","Cataluña","Girona","189.0"
"Año 2010","Cuarto","Cataluña","Lleida","70.0"
"Año 2010","Cuarto","Cataluña","Tarragona","197.0"
"Año 2010","Cuarto","Comunitat Valenciana","Alicante/Alacant","455.0"
"Año 2010","Cuarto","Comunitat Valenciana","Castellón/Castelló","140.0"
"Año 2010","Cuarto","Comunitat Valenciana","Valencia/València","465.0"
"Año 2010","Cuarto","Extremadura","Badajoz","111.0"
"Año 2010","Cuarto","Extremadura","Cáceres","54.0"
"Año 2010","Cuarto","Galicia","A Coruña","81.0"
"Año 2010","Cuarto","Galicia","Lugo","47.0"
"Año 2010","Cuarto","Galicia","Ourense","50.0"
"Año 2010","Cuarto","Galicia","Pontevedra","143.0"
"Año 2010","Cuarto","Comunidad de Madrid","Madrid","1374.0"
"Año 2010","Cuarto","Región de Murcia","Murcia","392.0"
"Año 2010","Cuarto","Comunidad Foral de Navarra","Navarra","69.0"
"Año 2010","Cuarto","País Vasco","Araba/Álava","56.0"
"Año 2010","Cuarto","País Vasco","Gipuzkoa","77.0"
"Año 2010","Cuarto","País Vasco","Bizkaia","151.0"
"Año 2010","Cuarto","La Rioja","La Rioja","68.0"
"Año 2010","Cuarto","Ceuta","Ceuta","24.0"
"Año 2010","Cuarto","Melilla","Melilla","0.0"
"Año 2011","Primero","Andalucía","Almería","74.0"
"Año 2011","Primero","Andalucía","Cádiz","224.0"
"Año 2011","Primero","Andalucía","Córdoba","101.0"
"Año 2011","Primero","Andalucía","Granada","107.0"
"Año 2011","Primero","Andalucía","Huelva","110.0"
"Año 2011","Primero","Andalucía","Jaén","86.0"
"Año 2011","Primero","Andalucía","Málaga","313.0"
"Año 2011","Primero","Andalucía","Sevilla","450.0"
"Año 2011","Primero","Aragón","Huesca","25.0"
"Año 2011","Primero","Aragón","Teruel","13.0"
"Año 2011","Primero","Aragón","Zaragoza","127.0"
"Año 2011","Primero","Principado de Asturias","Asturias","169.0"
"Año 2011","Primero","Illes Balears","Illes Balears","213.0"
"Año 2011","Primero","Canarias","Las Palmas","269.0"
"Año 2011","Primero","Canarias","Santa Cruz de Tenerife","293.0"
"Año 2011","Primero","Cantabria","Cantabria","82.0"
"Año 2011","Primero","Castilla y León","Ávila","28.0"
"Año 2011","Primero","Castilla y León","Burgos","60.0"
"Año 2011","Primero","Castilla y León","León","105.0"
"Año 2011","Primero","Castilla y León","Palencia","24.0"
"Año 2011","Primero","Castilla y León","Salamanca","27.0"
"Año 2011","Primero","Castilla y León","Segovia","18.0"
"Año 2011","Primero","Castilla y León","Soria","26.0"
"Año 2011","Primero","Castilla y León","Valladolid","96.0"
"Año 2011","Primero","Castilla y León","Zamora","17.0"
"Año 2011","Primero","Castilla-La Mancha","Albacete","74.0"
"Año 2011","Primero","Castilla-La Mancha","Ciudad Real","87.0"
"Año 2011","Primero","Castilla-La Mancha","Cuenca","33.0"
"Año 2011","Primero","Castilla-La Mancha","Guadalajara","93.0"
"Año 2011","Primero","Castilla-La Mancha","Toledo","166.0"
"Año 2011","Primero","Cataluña","Barcelona","878.0"
"Año 2011","Primero","Cataluña","Girona","176.0"
"Año 2011","Primero","Cataluña","Lleida","65.0"
"Año 2011","Primero","Cataluña","Tarragona","216.0"
"Año 2011","Primero","Comunitat Valenciana","Alicante/Alacant","580.0"
"Año 2011","Primero","Comunitat Valenciana","Castellón/Castelló","128.0"
"Año 2011","Primero","Comunitat Valenciana","Valencia/València","414.0"
"Año 2011","Primero","Extremadura","Badajoz","162.0"
"Año 2011","Primero","Extremadura","Cáceres","50.0"
"Año 2011","Primero","Galicia","A Coruña","84.0"
"Año 2011","Primero","Galicia","Lugo","49.0"
"Año 2011","Primero","Galicia","Ourense","30.0"
"Año 2011","Primero","Galicia","Pontevedra","123.0"
"Año 2011","Primero","Comunidad de Madrid","Madrid","1445.0"
"Año 2011","Primero","Región de Murcia","Murcia","493.0"
