"Año","Mes","Comunidad autónoma","Provincia","Instalaciones acumuladas","Desinstalaciones acumuladas","Dispositivos activos"
"Año 2013","Abril","Castilla-La Mancha","Guadalajara","4.0","1.0","3.0"
"Año 2013","Abril","Castilla-La Mancha","Toledo","28.0","12.0","16.0"
"Año 2013","Abril","Cataluña","Barcelona","39.0","24.0","15.0"
"Año 2013","Abril","Cataluña","Girona","4.0","2.0","2.0"
"Año 2013","Abril","Cataluña","Lleida","9.0","7.0","2.0"
"Año 2013","Abril","Cataluña","Tarragona","27.0","11.0","16.0"
"Año 2013","Abril","Comunitat Valenciana","Alicante/Alacant","68.0","26.0","42.0"
"Año 2013","Abril","Comunitat Valenciana","Castellón/Castelló","6.0","5.0","1.0"
"Año 2013","Abril","Comunitat Valenciana","Valencia/València","127.0","67.0","60.0"
"Año 2013","Abril","Extremadura","Badajoz","19.0","14.0","5.0"
"Año 2013","Abril","Extremadura","Cáceres","9.0","4.0","5.0"
"Año 2013","Abril","Galicia","A Coruña","19.0","14.0","5.0"
"Año 2013","Abril","Galicia","Lugo","11.0","6.0","5.0"
"Año 2013","Abril","Galicia","Ourense","3.0","2.0","1.0"
"Año 2013","Abril","Galicia","Pontevedra","22.0","17.0","5.0"
"Año 2013","Abril","Comunidad de Madrid","Madrid","667.0","461.0","206.0"
"Año 2013","Abril","Región de Murcia","Murcia","23.0","14.0","9.0"
"Año 2013","Abril","Comunidad Foral de Navarra","Navarra","5.0","2.0","3.0"
"Año 2013","Abril","País Vasco","Araba/Álava","3.0","3.0","0.0"
"Año 2013","Abril","País Vasco","Bizkaia","63.0","39.0","24.0"
"Año 2013","Abril","País Vasco","Gipuzkoa","25.0","19.0","6.0"
"Año 2013","Abril","La Rioja","La Rioja","12.0","10.0","2.0"
"Año 2013","Abril","Ceuta","Ceuta","0.0","0.0","0.0"
"Año 2013","Abril","Melilla","Melilla","0.0","0.0","0.0"
"Año 2013","Mayo","Andalucía","Almería","36.0","17.0","19.0"
"Año 2013","Mayo","Andalucía","Cádiz","33.0","23.0","10.0"
"Año 2013","Mayo","Andalucía","Córdoba","21.0","14.0","7.0"
"Año 2013","Mayo","Andalucía","Granada","56.0","33.0","23.0"
"Año 2013","Mayo","Andalucía","Huelva","14.0","9.0","5.0"
"Año 2013","Mayo","Andalucía","Jaén","63.0","37.0","26.0"
"Año 2013","Mayo","Andalucía","Málaga","105.0","64.0","41.0"
"Año 2013","Mayo","Andalucía","Sevilla","69.0","42.0","27.0"
"Año 2013","Mayo","Aragón","Huesca","5.0","2.0","3.0"
"Año 2013","Mayo","Aragón","Teruel","15.0","14.0","1.0"
"Año 2013","Mayo","Aragón","Zaragoza","12.0","7.0","5.0"
"Año 2013","Mayo","Principado de Asturias","Asturias","35.0","27.0","8.0"
"Año 2013","Mayo","Illes Balears","Illes Balears","35.0","22.0","13.0"
"Año 2013","Mayo","Canarias","Las Palmas","32.0","17.0","15.0"
"Año 2013","Mayo","Canarias","Santa Cruz de Tenerife","44.0","21.0","23.0"
"Año 2013","Mayo","Cantabria","Cantabria","56.0","35.0","21.0"
"Año 2013","Mayo","Castilla y León","Ávila","4.0","2.0","2.0"
"Año 2013","Mayo","Castilla y León","Burgos","2.0","2.0","0.0"
"Año 2013","Mayo","Castilla y León","León","7.0","3.0","4.0"
"Año 2013","Mayo","Castilla y León","Palencia","14.0","12.0","2.0"
"Año 2013","Mayo","Castilla y León","Salamanca","1.0","0.0","1.0"
"Año 2013","Mayo","Castilla y León","Segovia","12.0","7.0","5.0"
"Año 2013","Mayo","Castilla y León","Soria","20.0","16.0","4.0"
"Año 2013","Mayo","Castilla y León","Valladolid","8.0","8.0","0.0"
"Año 2013","Mayo","Castilla y León","Zamora","1.0","1.0","0.0"
"Año 2013","Mayo","Castilla-La Mancha","Albacete","6.0","3.0","3.0"
"Año 2013","Mayo","Castilla-La Mancha","Ciudad Real","24.0","14.0","10.0"
"Año 2013","Mayo","Castilla-La Mancha","Cuenca","2.0","0.0","2.0"
"Año 2013","Mayo","Castilla-La Mancha","Guadalajara","4.0","1.0","3.0"
"Año 2013","Mayo","Castilla-La Mancha","Toledo","29.0","12.0","17.0"
"Año 2013","Mayo","Cataluña","Barcelona","39.0","24.0","15.0"
"Año 2013","Mayo","Cataluña","Girona","4.0","2.0","2.0"
"Año 2013","Mayo","Cataluña","Lleida","9.0","7.0","2.0"
"Año 2013","Mayo","Cataluña","Tarragona","27.0","11.0","16.0"
"Año 2013","Mayo","Comunitat Valenciana","Alicante/Alacant","72.0","29.0","43.0"
"Año 2013","Mayo","Comunitat Valenciana","Castellón/Castelló","6.0","5.0","1.0"
"Año 2013","Mayo","Comunitat Valenciana","Valencia/València","129.0","72.0","57.0"
"Año 2013","Mayo","Extremadura","Badajoz","19.0","15.0","4.0"
"Año 2013","Mayo","Extremadura","Cáceres","9.0","4.0","5.0"
"Año 2013","Mayo","Galicia","A Coruña","20.0","15.0","5.0"
"Año 2013","Mayo","Galicia","Lugo","11.0","6.0","5.0"
"Año 2013","Mayo","Galicia","Ourense","3.0","2.0","1.0"
"Año 2013","Mayo","Galicia","Pontevedra","23.0","17.0","6.0"
"Año 2013","Mayo","Comunidad de Madrid","Madrid","676.0","467.0","209.0"
"Año 2013","Mayo","Región de Murcia","Murcia","23.0","15.0","8.0"
"Año 2013","Mayo","Comunidad Foral de Navarra","Navarra","5.0","3.0","2.0"
"Año 2013","Mayo","País Vasco","Araba/Álava","3.0","3.0","0.0"
"Año 2013","Mayo","País Vasco","Bizkaia","64.0","42.0","22.0"
"Año 2013","Mayo","País Vasco","Gipuzkoa","26.0","20.0","6.0"
"Año 2013","Mayo","La Rioja","La Rioja","12.0","10.0","2.0"
"Año 2013","Mayo","Ceuta","Ceuta","0.0","0.0","0.0"
"Año 2013","Mayo","Melilla","Melilla","0.0","0.0","0.0"
"Año 2013","Junio","Andalucía","Almería","38.0","20.0","18.0"
"Año 2013","Junio","Andalucía","Cádiz","35.0","23.0","12.0"
"Año 2013","Junio","Andalucía","Córdoba","21.0","15.0","6.0"
"Año 2013","Junio","Andalucía","Granada","56.0","33.0","23.0"
"Año 2013","Junio","Andalucía","Huelva","14.0","9.0","5.0"
"Año 2013","Junio","Andalucía","Jaén","65.0","39.0","26.0"
"Año 2013","Junio","Andalucía","Málaga","109.0","67.0","42.0"
"Año 2013","Junio","Andalucía","Sevilla","70.0","43.0","27.0"
"Año 2013","Junio","Aragón","Huesca","5.0","2.0","3.0"
"Año 2013","Junio","Aragón","Teruel","15.0","15.0","0.0"
"Año 2013","Junio","Aragón","Zaragoza","12.0","7.0","5.0"
"Año 2013","Junio","Principado de Asturias","Asturias","37.0","28.0","9.0"
"Año 2013","Junio","Illes Balears","Illes Balears","35.0","22.0","13.0"
"Año 2013","Junio","Canarias","Las Palmas","34.0","19.0","15.0"
"Año 2013","Junio","Canarias","Santa Cruz de Tenerife","46.0","23.0","23.0"
"Año 2013","Junio","Cantabria","Cantabria","56.0","35.0","21.0"
"Año 2013","Junio","Castilla y León","Ávila","4.0","2.0","2.0"
"Año 2013","Junio","Castilla y León","Burgos","2.0","2.0","0.0"
"Año 2013","Junio","Castilla y León","León","7.0","3.0","4.0"
"Año 2013","Junio","Castilla y León","Palencia","14.0","12.0","2.0"
"Año 2013","Junio","Castilla y León","Salamanca","1.0","0.0","1.0"
"Año 2013","Junio","Castilla y León","Segovia","12.0","7.0","5.0"
"Año 2013","Junio","Castilla y León","Soria","20.0","17.0","3.0"
"Año 2013","Junio","Castilla y León","Valladolid","8.0","8.0","0.0"
"Año 2013","Junio","Castilla y León","Zamora","1.0","1.0","0.0"
"Año 2013","Junio","Castilla-La Mancha","Albacete","7.0","3.0","4.0"
"Año 2013","Junio","Castilla-La Mancha","Ciudad Real","24.0","14.0","10.0"
"Año 2013","Junio","Castilla-La Mancha","Cuenca","2.0","0.0","2.0"
"Año 2013","Junio","Castilla-La Mancha","Guadalajara","5.0","2.0","3.0"
"Año 2013","Junio","Castilla-La Mancha","Toledo","30.0","12.0","18.0"
"Año 2013","Junio","Cataluña","Barcelona","39.0","24.0","15.0"
"Año 2013","Junio","Cataluña","Girona","4.0","2.0","2.0"
"Año 2013","Junio","Cataluña","Lleida","9.0","7.0","2.0"
"Año 2013","Junio","Cataluña","Tarragona","27.0","12.0","15.0"
"Año 2013","Junio","Comunitat Valenciana","Alicante/Alacant","74.0","31.0","43.0"
"Año 2013","Junio","Comunitat Valenciana","Castellón/Castelló","6.0","5.0","1.0"
"Año 2013","Junio","Comunitat Valenciana","Valencia/València","133.0","74.0","59.0"
"Año 2013","Junio","Extremadura","Badajoz","20.0","15.0","5.0"
"Año 2013","Junio","Extremadura","Cáceres","9.0","4.0","5.0"
"Año 2013","Junio","Galicia","A Coruña","20.0","15.0","5.0"
"Año 2013","Junio","Galicia","Lugo","11.0","6.0","5.0"
"Año 2013","Junio","Galicia","Ourense","3.0","2.0","1.0"
"Año 2013","Junio","Galicia","Pontevedra","23.0","17.0","6.0"
"Año 2013","Junio","Comunidad de Madrid","Madrid","683.0","482.0","201.0"
"Año 2013","Junio","Región de Murcia","Murcia","24.0","15.0","9.0"
"Año 2013","Junio","Comunidad Foral de Navarra","Navarra","5.0","3.0","2.0"
"Año 2013","Junio","País Vasco","Araba/Álava","3.0","3.0","0.0"
"Año 2013","Junio","País Vasco","Bizkaia","64.0","42.0","22.0"
"Año 2013","Junio","País Vasco","Gipuzkoa","26.0","20.0","6.0"
"Año 2013","Junio","La Rioja","La Rioja","13.0","10.0","3.0"
"Año 2013","Junio","Ceuta","Ceuta","0.0","0.0","0.0"
"Año 2013","Junio","Melilla","Melilla","0.0","0.0","0.0"
"Año 2013","Julio","Andalucía","Almería","40.0","22.0","18.0"
"Año 2013","Julio","Andalucía","Cádiz","35.0","24.0","11.0"
"Año 2013","Julio","Andalucía","Córdoba","23.0","15.0","8.0"
"Año 2013","Julio","Andalucía","Granada","56.0","33.0","23.0"
"Año 2013","Julio","Andalucía","Huelva","15.0","10.0","5.0"
"Año 2013","Julio","Andalucía","Jaén","67.0","39.0","28.0"
"Año 2013","Julio","Andalucía","Málaga","112.0","67.0","45.0"
"Año 2013","Julio","Andalucía","Sevilla","71.0","49.0","22.0"
"Año 2013","Julio","Aragón","Huesca","5.0","2.0","3.0"
"Año 2013","Julio","Aragón","Teruel","15.0","15.0","0.0"
"Año 2013","Julio","Aragón","Zaragoza","12.0","7.0","5.0"
"Año 2013","Julio","Principado de Asturias","Asturias","39.0","30.0","9.0"
"Año 2013","Julio","Illes Balears","Illes Balears","35.0","22.0","13.0"
"Año 2013","Julio","Canarias","Las Palmas","34.0","19.0","15.0"
"Año 2013","Julio","Canarias","Santa Cruz de Tenerife","46.0","25.0","21.0"
"Año 2013","Julio","Cantabria","Cantabria","57.0","35.0","22.0"
"Año 2013","Julio","Castilla y León","Ávila","4.0","2.0","2.0"
"Año 2013","Julio","Castilla y León","Burgos","2.0","2.0","0.0"
"Año 2013","Julio","Castilla y León","León","7.0","3.0","4.0"
"Año 2013","Julio","Castilla y León","Palencia","14.0","12.0","2.0"
"Año 2013","Julio","Castilla y León","Salamanca","1.0","0.0","1.0"
"Año 2013","Julio","Castilla y León","Segovia","14.0","7.0","7.0"
"Año 2013","Julio","Castilla y León","Soria","20.0","18.0","2.0"
"Año 2013","Julio","Castilla y León","Valladolid","8.0","8.0","0.0"
"Año 2013","Julio","Castilla y León","Zamora","1.0","1.0","0.0"
"Año 2013","Julio","Castilla-La Mancha","Albacete","7.0","3.0","4.0"
"Año 2013","Julio","Castilla-La Mancha","Ciudad Real","24.0","14.0","10.0"
"Año 2013","Julio","Castilla-La Mancha","Cuenca","2.0","0.0","2.0"
"Año 2013","Julio","Castilla-La Mancha","Guadalajara","5.0","2.0","3.0"
"Año 2013","Julio","Castilla-La Mancha","Toledo","31.0","14.0","17.0"
"Año 2013","Julio","Cataluña","Barcelona","39.0","24.0","15.0"
"Año 2013","Julio","Cataluña","Girona","4.0","2.0","2.0"
"Año 2013","Julio","Cataluña","Lleida","9.0","7.0","2.0"
"Año 2013","Julio","Cataluña","Tarragona","27.0","14.0","13.0"
"Año 2013","Julio","Comunitat Valenciana","Alicante/Alacant","75.0","31.0","44.0"
"Año 2013","Julio","Comunitat Valenciana","Castellón/Castelló","6.0","5.0","1.0"
"Año 2013","Julio","Comunitat Valenciana","Valencia/València","138.0","74.0","64.0"
"Año 2013","Julio","Extremadura","Badajoz","20.0","15.0","5.0"
"Año 2013","Julio","Extremadura","Cáceres","9.0","4.0","5.0"
"Año 2013","Julio","Galicia","A Coruña","22.0","15.0","7.0"
"Año 2013","Julio","Galicia","Lugo","11.0","6.0","5.0"
"Año 2013","Julio","Galicia","Ourense","4.0","2.0","2.0"
"Año 2013","Julio","Galicia","Pontevedra","23.0","17.0","6.0"
"Año 2013","Julio","Comunidad de Madrid","Madrid","695.0","497.0","198.0"
"Año 2013","Julio","Región de Murcia","Murcia","25.0","15.0","10.0"
"Año 2013","Julio","Comunidad Foral de Navarra","Navarra","5.0","3.0","2.0"
"Año 2013","Julio","País Vasco","Araba/Álava","4.0","3.0","1.0"
"Año 2013","Julio","País Vasco","Bizkaia","64.0","43.0","21.0"
"Año 2013","Julio","País Vasco","Gipuzkoa","27.0","20.0","7.0"
"Año 2013","Julio","La Rioja","La Rioja","13.0","11.0","2.0"
"Año 2013","Julio","Ceuta","Ceuta","0.0","0.0","0.0"
"Año 2013","Julio","Melilla","Melilla","0.0","0.0","0.0"
"Año 2013","Agosto","Andalucía","Almería","40.0","22.0","18.0"
"Año 2013","Agosto","Andalucía","Cádiz","36.0","24.0","12.0"
"Año 2013","Agosto","Andalucía","Córdoba","23.0","17.0","6.0"
"Año 2013","Agosto","Andalucía","Granada","56.0","35.0","21.0"
"Año 2013","Agosto","Andalucía","Huelva","16.0","10.0","6.0"
"Año 2013","Agosto","Andalucía","Jaén","69.0","39.0","30.0"
"Año 2013","Agosto","Andalucía","Málaga","116.0","69.0","47.0"
"Año 2013","Agosto","Andalucía","Sevilla","72.0","49.0","23.0"
"Año 2013","Agosto","Aragón","Huesca","5.0","2.0","3.0"
"Año 2013","Agosto","Aragón","Teruel","16.0","15.0","1.0"
"Año 2013","Agosto","Aragón","Zaragoza","13.0","7.0","6.0"
"Año 2013","Agosto","Principado de Asturias","Asturias","40.0","30.0","10.0"
"Año 2013","Agosto","Illes Balears","Illes Balears","35.0","22.0","13.0"
"Año 2013","Agosto","Canarias","Las Palmas","34.0","19.0","15.0"
"Año 2013","Agosto","Canarias","Santa Cruz de Tenerife","50.0","26.0","24.0"
"Año 2013","Agosto","Cantabria","Cantabria","57.0","37.0","20.0"
"Año 2013","Agosto","Castilla y León","Ávila","4.0","2.0","2.0"
"Año 2013","Agosto","Castilla y León","Burgos","2.0","2.0","0.0"
"Año 2013","Agosto","Castilla y León","León","7.0","4.0","3.0"
"Año 2013","Agosto","Castilla y León","Palencia","15.0","12.0","3.0"
"Año 2013","Agosto","Castilla y León","Salamanca","1.0","0.0","1.0"
