"Año","Trimestre","Mes","Comunidad autónoma","Provincia","Total consultas pertinentes","Llamadas pertinentes","WhatsApp pertinentes","Correos electrónicos pertinentes","Chats pertinentes"
"2012","Primero","Marzo","Castilla-La Mancha","Ciudad Real","40.0","40.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Castilla-La Mancha","Cuenca","15.0","15.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Castilla-La Mancha","Guadalajara","17.0","17.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Castilla-La Mancha","Toledo","51.0","51.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Cataluña","Barcelona","489.0","489.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Cataluña","Girona","59.0","59.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Cataluña","Lleida","21.0","21.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Cataluña","Tarragona","44.0","44.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Comunitat Valenciana","Alicante/Alacant","193.0","193.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Comunitat Valenciana","Castellón/Castelló","58.0","58.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Comunitat Valenciana","Valencia/València","267.0","267.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Extremadura","Badajoz","49.0","49.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Extremadura","Cáceres","27.0","27.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Galicia","A Coruña","103.0","103.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Galicia","Lugo","29.0","29.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Galicia","Ourense","42.0","42.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Galicia","Pontevedra","59.0","59.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Comunidad de Madrid","Madrid","1044.0","1044.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Región de Murcia","Murcia","134.0","134.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Comunidad Foral de Navarra","Navarra","56.0","56.0","0.0","0.0","0.0"
"2012","Primero","Marzo","País Vasco","Araba/Álava","15.0","15.0","0.0","0.0","0.0"
"2012","Primero","Marzo","País Vasco","Bizkaia","69.0","69.0","0.0","0.0","0.0"
"2012","Primero","Marzo","País Vasco","Gipuzkoa","34.0","34.0","0.0","0.0","0.0"
"2012","Primero","Marzo","La Rioja","La Rioja","17.0","17.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Ceuta","Ceuta","9.0","9.0","0.0","0.0","0.0"
"2012","Primero","Marzo","Melilla","Melilla","11.0","11.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Andalucía","Almería","55.0","55.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Andalucía","Cádiz","104.0","104.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Andalucía","Córdoba","47.0","47.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Andalucía","Granada","95.0","95.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Andalucía","Huelva","39.0","39.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Andalucía","Jaén","50.0","50.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Andalucía","Málaga","169.0","169.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Andalucía","Sevilla","243.0","243.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Aragón","Huesca","15.0","15.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Aragón","Teruel","2.0","2.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Aragón","Zaragoza","63.0","63.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Principado de Asturias","Asturias","124.0","124.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Illes Balears","Illes Balears","123.0","123.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Canarias","Las Palmas","136.0","136.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Canarias","Santa Cruz de Tenerife","115.0","115.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Cantabria","Cantabria","58.0","58.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Castilla y León","Ávila","20.0","20.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Castilla y León","Burgos","28.0","28.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Castilla y León","León","35.0","35.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Castilla y León","Palencia","3.0","3.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Castilla y León","Salamanca","27.0","27.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Castilla y León","Segovia","20.0","20.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Castilla y León","Soria","6.0","6.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Castilla y León","Valladolid","56.0","56.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Castilla y León","Zamora","9.0","9.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Castilla-La Mancha","Albacete","20.0","20.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Castilla-La Mancha","Ciudad Real","26.0","26.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Castilla-La Mancha","Cuenca","8.0","8.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Castilla-La Mancha","Guadalajara","16.0","16.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Castilla-La Mancha","Toledo","77.0","77.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Cataluña","Barcelona","524.0","524.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Cataluña","Girona","50.0","50.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Cataluña","Lleida","30.0","30.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Cataluña","Tarragona","48.0","48.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Comunitat Valenciana","Alicante/Alacant","165.0","165.0","0.0","0.0","0.0"
"2012","Segundo","Abril","Comunitat Valenciana","Castellón/Castelló","53.0","53.0","0.0","0.0","0.0"
