"Año","Comunidad autónoma","Provincia","Número de ayudas para cambio de residencia"
"Año 2011","Cataluña","Girona","11.0"
"Año 2011","Cataluña","Lleida","11.0"
"Año 2011","Cataluña","Tarragona","29.0"
"Año 2011","Comunitat Valenciana","Alicante/Alacant","118.0"
"Año 2011","Comunitat Valenciana","Castellón/Castelló","28.0"
"Año 2011","Comunitat Valenciana","Valencia/València","139.0"
"Año 2011","Extremadura","Badajoz","26.0"
"Año 2011","Extremadura","Cáceres","35.0"
"Año 2011","Galicia","A Coruña","53.0"
"Año 2011","Galicia","Lugo","12.0"
"Año 2011","Galicia","Ourense","18.0"
"Año 2011","Galicia","Pontevedra","44.0"
"Año 2011","Comunidad de Madrid","Madrid","192.0"
"Año 2011","Región de Murcia","Murcia","77.0"
"Año 2011","Comunidad Foral de Navarra","Navarra","43.0"
"Año 2011","País Vasco","Araba/Álava","9.0"
"Año 2011","País Vasco","Bizkaia","49.0"
"Año 2011","País Vasco","Gipuzkoa","6.0"
"Año 2011","La Rioja","La Rioja","16.0"
"Año 2011","Ceuta","Ceuta","0.0"
"Año 2011","Melilla","Melilla","0.0"
"Año 2012","Andalucía","Almería","33.0"
"Año 2012","Andalucía","Cádiz","87.0"
"Año 2012","Andalucía","Córdoba","39.0"
"Año 2012","Andalucía","Granada","101.0"
"Año 2012","Andalucía","Huelva","24.0"
"Año 2012","Andalucía","Jaén","40.0"
"Año 2012","Andalucía","Málaga","128.0"
"Año 2012","Andalucía","Sevilla","111.0"
"Año 2012","Aragón","Huesca","11.0"
"Año 2012","Aragón","Teruel","10.0"
"Año 2012","Aragón","Zaragoza","92.0"
"Año 2012","Principado de Asturias","Asturias","80.0"
"Año 2012","Illes Balears","Illes Balears","34.0"
"Año 2012","Canarias","Las Palmas","90.0"
"Año 2012","Canarias","Santa Cruz de Tenerife","186.0"
"Año 2012","Cantabria","Cantabria","21.0"
"Año 2012","Castilla y León","Ávila","6.0"
"Año 2012","Castilla y León","Burgos","7.0"
"Año 2012","Castilla y León","León","17.0"
"Año 2012","Castilla y León","Palencia","7.0"
"Año 2012","Castilla y León","Salamanca","21.0"
"Año 2012","Castilla y León","Segovia","0.0"
"Año 2012","Castilla y León","Soria","4.0"
"Año 2012","Castilla y León","Valladolid","16.0"
"Año 2012","Castilla y León","Zamora","4.0"
"Año 2012","Castilla-La Mancha","Albacete","23.0"
"Año 2012","Castilla-La Mancha","Ciudad Real","24.0"
"Año 2012","Castilla-La Mancha","Cuenca","9.0"
"Año 2012","Castilla-La Mancha","Guadalajara","15.0"
"Año 2012","Castilla-La Mancha","Toledo","63.0"
"Año 2012","Cataluña","Barcelona","147.0"
"Año 2012","Cataluña","Girona","21.0"
"Año 2012","Cataluña","Lleida","13.0"
"Año 2012","Cataluña","Tarragona","32.0"
"Año 2012","Comunitat Valenciana","Alicante/Alacant","141.0"
"Año 2012","Comunitat Valenciana","Castellón/Castelló","34.0"
"Año 2012","Comunitat Valenciana","Valencia/València","177.0"
"Año 2012","Extremadura","Badajoz","24.0"
"Año 2012","Extremadura","Cáceres","33.0"
"Año 2012","Galicia","A Coruña","61.0"
"Año 2012","Galicia","Lugo","17.0"
"Año 2012","Galicia","Ourense","25.0"
"Año 2012","Galicia","Pontevedra","59.0"
"Año 2012","Comunidad de Madrid","Madrid","195.0"
"Año 2012","Región de Murcia","Murcia","76.0"
"Año 2012","Comunidad Foral de Navarra","Navarra","36.0"
"Año 2012","País Vasco","Araba/Álava","7.0"
"Año 2012","País Vasco","Bizkaia","62.0"
"Año 2012","País Vasco","Gipuzkoa","9.0"
"Año 2012","La Rioja","La Rioja","13.0"
"Año 2012","Ceuta","Ceuta","0.0"
"Año 2012","Melilla","Melilla","3.0"
"Año 2013","Andalucía","Almería","38.0"
"Año 2013","Andalucía","Cádiz","102.0"
"Año 2013","Andalucía","Córdoba","52.0"
"Año 2013","Andalucía","Granada","122.0"
"Año 2013","Andalucía","Huelva","25.0"
"Año 2013","Andalucía","Jaén","51.0"
"Año 2013","Andalucía","Málaga","110.0"
"Año 2013","Andalucía","Sevilla","113.0"
"Año 2013","Aragón","Huesca","19.0"
"Año 2013","Aragón","Teruel","18.0"
"Año 2013","Aragón","Zaragoza","88.0"
"Año 2013","Principado de Asturias","Asturias","64.0"
"Año 2013","Illes Balears","Illes Balears","56.0"
"Año 2013","Canarias","Las Palmas","104.0"
"Año 2013","Canarias","Santa Cruz de Tenerife","198.0"
"Año 2013","Cantabria","Cantabria","32.0"
"Año 2013","Castilla y León","Ávila","11.0"
"Año 2013","Castilla y León","Burgos","12.0"
"Año 2013","Castilla y León","León","23.0"
"Año 2013","Castilla y León","Palencia","5.0"
"Año 2013","Castilla y León","Salamanca","18.0"
"Año 2013","Castilla y León","Segovia","3.0"
"Año 2013","Castilla y León","Soria","8.0"
"Año 2013","Castilla y León","Valladolid","24.0"
"Año 2013","Castilla y León","Zamora","5.0"
"Año 2013","Castilla-La Mancha","Albacete","27.0"
