Medidas cautelares;Comunidades y ciudades autónomas;Periodo;Total
Apud acta Obligación de comparecer;País Vasco;2021;5
Apud acta Obligación de comparecer;País Vasco;2020;16
Apud acta Obligación de comparecer;País Vasco;2019;28
Apud acta Obligación de comparecer;País Vasco;2018;24
Apud acta Obligación de comparecer;País Vasco;2017;10
Apud acta Obligación de comparecer;País Vasco;2016;22
Apud acta Obligación de comparecer;País Vasco;2015;2
Apud acta Obligación de comparecer;País Vasco;2014;0
Apud acta Obligación de comparecer;País Vasco;2013;0
Apud acta Obligación de comparecer;País Vasco;2012;0
Apud acta Obligación de comparecer;País Vasco;2011;0
Apud acta Obligación de comparecer;Rioja, La;2023;4
Apud acta Obligación de comparecer;Rioja, La;2022;0
Apud acta Obligación de comparecer;Rioja, La;2021;2
Apud acta Obligación de comparecer;Rioja, La;2020;2
Apud acta Obligación de comparecer;Rioja, La;2019;7
Apud acta Obligación de comparecer;Rioja, La;2018;113
Apud acta Obligación de comparecer;Rioja, La;2017;2
Apud acta Obligación de comparecer;Rioja, La;2016;7
Apud acta Obligación de comparecer;Rioja, La;2015;4
Apud acta Obligación de comparecer;Rioja, La;2014;12
Apud acta Obligación de comparecer;Rioja, La;2013;12
Apud acta Obligación de comparecer;Rioja, La;2012;35
Apud acta Obligación de comparecer;Rioja, La;2011;13
Apud acta Obligación de comparecer;Ceuta;2023;1
Apud acta Obligación de comparecer;Ceuta;2022;0
Apud acta Obligación de comparecer;Ceuta;2021;0
Apud acta Obligación de comparecer;Ceuta;2020;0
Apud acta Obligación de comparecer;Ceuta;2019;2
Apud acta Obligación de comparecer;Ceuta;2018;1
Apud acta Obligación de comparecer;Ceuta;2017;0
Apud acta Obligación de comparecer;Ceuta;2016;1
Apud acta Obligación de comparecer;Ceuta;2015;0
Apud acta Obligación de comparecer;Ceuta;2014;1
Apud acta Obligación de comparecer;Ceuta;2013;1
Apud acta Obligación de comparecer;Ceuta;2012;3
Apud acta Obligación de comparecer;Ceuta;2011;1
Apud acta Obligación de comparecer;Melilla;2023;4
Apud acta Obligación de comparecer;Melilla;2022;6
Apud acta Obligación de comparecer;Melilla;2021;1
Apud acta Obligación de comparecer;Melilla;2020;2
Apud acta Obligación de comparecer;Melilla;2019;4
Apud acta Obligación de comparecer;Melilla;2018;2
Apud acta Obligación de comparecer;Melilla;2017;2
Apud acta Obligación de comparecer;Melilla;2016;5
Apud acta Obligación de comparecer;Melilla;2015;3
Apud acta Obligación de comparecer;Melilla;2014;4
Apud acta Obligación de comparecer;Melilla;2013;11
Apud acta Obligación de comparecer;Melilla;2012;16
Apud acta Obligación de comparecer;Melilla;2011;10
Libertad provisional;Total Nacional;2023;12.643
Libertad provisional;Total Nacional;2022;10.241
Libertad provisional;Total Nacional;2021;9.192
Libertad provisional;Total Nacional;2020;8.948
Libertad provisional;Total Nacional;2019;10.245
Libertad provisional;Total Nacional;2018;10.317
Libertad provisional;Total Nacional;2017;9.585
Libertad provisional;Total Nacional;2016;9.982
Libertad provisional;Total Nacional;2015;9.596
Libertad provisional;Total Nacional;2014;9.601
Libertad provisional;Total Nacional;2013;9.576
Libertad provisional;Total Nacional;2012;10.181
Libertad provisional;Total Nacional;2011;11.078
Libertad provisional;Andalucía;2023;3.207
Libertad provisional;Andalucía;2022;2.701
Libertad provisional;Andalucía;2021;2.336
Libertad provisional;Andalucía;2020;2.566
Libertad provisional;Andalucía;2019;2.855
Libertad provisional;Andalucía;2018;2.890
Libertad provisional;Andalucía;2017;3.099
Libertad provisional;Andalucía;2016;3.207
Libertad provisional;Andalucía;2015;3.272
Libertad provisional;Andalucía;2014;3.350
Libertad provisional;Andalucía;2013;3.235
Libertad provisional;Andalucía;2012;3.437
Libertad provisional;Andalucía;2011;3.764
Libertad provisional;Aragón;2023;76
Libertad provisional;Aragón;2022;80
Libertad provisional;Aragón;2021;96
Libertad provisional;Aragón;2020;99
Libertad provisional;Aragón;2019;99
Libertad provisional;Aragón;2018;130
Libertad provisional;Aragón;2017;119
Libertad provisional;Aragón;2016;128
Libertad provisional;Aragón;2015;134
Libertad provisional;Aragón;2014;144
Libertad provisional;Aragón;2013;106
Libertad provisional;Aragón;2012;104
Libertad provisional;Aragón;2011;161
Libertad provisional;Asturias, Principado de;2023;303
Libertad provisional;Asturias, Principado de;2022;227
Libertad provisional;Asturias, Principado de;2021;168
Libertad provisional;Asturias, Principado de;2020;210
Libertad provisional;Asturias, Principado de;2019;248
Libertad provisional;Asturias, Principado de;2018;238
Libertad provisional;Asturias, Principado de;2017;264
Libertad provisional;Asturias, Principado de;2016;222
Libertad provisional;Asturias, Principado de;2015;141
Libertad provisional;Asturias, Principado de;2014;166
Libertad provisional;Asturias, Principado de;2013;175
Libertad provisional;Asturias, Principado de;2012;144
Libertad provisional;Asturias, Principado de;2011;154
Libertad provisional;Balears, Illes;2023;622
Libertad provisional;Balears, Illes;2022;400
Libertad provisional;Balears, Illes;2021;300
Libertad provisional;Balears, Illes;2020;207
Libertad provisional;Balears, Illes;2019;239
Libertad provisional;Balears, Illes;2018;130
Libertad provisional;Balears, Illes;2017;126
Libertad provisional;Balears, Illes;2016;133
Libertad provisional;Balears, Illes;2015;186
Libertad provisional;Balears, Illes;2014;255
Libertad provisional;Balears, Illes;2013;233
Libertad provisional;Balears, Illes;2012;149
Libertad provisional;Balears, Illes;2011;149
Libertad provisional;Canarias;2023;1.175
Libertad provisional;Canarias;2022;802
Libertad provisional;Canarias;2021;552
Libertad provisional;Canarias;2020;473
Libertad provisional;Canarias;2019;499
Libertad provisional;Canarias;2018;547
Libertad provisional;Canarias;2017;305
Libertad provisional;Canarias;2016;196
Libertad provisional;Canarias;2015;138
Libertad provisional;Canarias;2014;117
Libertad provisional;Canarias;2013;200
Libertad provisional;Canarias;2012;184
Libertad provisional;Canarias;2011;153
Libertad provisional;Cantabria;2023;690
Libertad provisional;Cantabria;2022;488
Libertad provisional;Cantabria;2021;398
Libertad provisional;Cantabria;2020;316
Libertad provisional;Cantabria;2019;380
Libertad provisional;Cantabria;2018;411
Libertad provisional;Cantabria;2017;362
Libertad provisional;Cantabria;2016;379
Libertad provisional;Cantabria;2015;334
Libertad provisional;Cantabria;2014;236
Libertad provisional;Cantabria;2013;232
Libertad provisional;Cantabria;2012;202
Libertad provisional;Cantabria;2011;233
Libertad provisional;Castilla y León;2023;1.286
Libertad provisional;Castilla y León;2022;1.016
Libertad provisional;Castilla y León;2021;888
Libertad provisional;Castilla y León;2020;918
Libertad provisional;Castilla y León;2019;973
Libertad provisional;Castilla y León;2018;852
Libertad provisional;Castilla y León;2017;823
Libertad provisional;Castilla y León;2016;819
Libertad provisional;Castilla y León;2015;931
Libertad provisional;Castilla y León;2014;979
Libertad provisional;Castilla y León;2013;918
Libertad provisional;Castilla y León;2012;965
Libertad provisional;Castilla y León;2011;950
Libertad provisional;Castilla - La Mancha;2023;847
Libertad provisional;Castilla - La Mancha;2022;851
Libertad provisional;Castilla - La Mancha;2021;935
Libertad provisional;Castilla - La Mancha;2020;737
Libertad provisional;Castilla - La Mancha;2019;866
Libertad provisional;Castilla - La Mancha;2018;859
Libertad provisional;Castilla - La Mancha;2017;807
Libertad provisional;Castilla - La Mancha;2016;876
Libertad provisional;Castilla - La Mancha;2015;819
Libertad provisional;Castilla - La Mancha;2014;700
Libertad provisional;Castilla - La Mancha;2013;681
Libertad provisional;Castilla - La Mancha;2012;777
Libertad provisional;Castilla - La Mancha;2011;873
Libertad provisional;Cataluña;2023;162
Libertad provisional;Cataluña;2022;153
Libertad provisional;Cataluña;2021;206
Libertad provisional;Cataluña;2020;261
Libertad provisional;Cataluña;2019;272
Libertad provisional;Cataluña;2018;276
Libertad provisional;Cataluña;2017;228
Libertad provisional;Cataluña;2016;233
Libertad provisional;Cataluña;2015;300
Libertad provisional;Cataluña;2014;257
Libertad provisional;Cataluña;2013;273
Libertad provisional;Cataluña;2012;520
Libertad provisional;Cataluña;2011;825
Libertad provisional;Comunitat Valenciana;2023;1.323
Libertad provisional;Comunitat Valenciana;2022;1.258
Libertad provisional;Comunitat Valenciana;2021;960
Libertad provisional;Comunitat Valenciana;2020;1.164
Libertad provisional;Comunitat Valenciana;2019;1.420
Libertad provisional;Comunitat Valenciana;2018;1.439
Libertad provisional;Comunitat Valenciana;2017;1.172
Libertad provisional;Comunitat Valenciana;2016;1.168
Libertad provisional;Comunitat Valenciana;2015;1.096
Libertad provisional;Comunitat Valenciana;2014;1.019
Libertad provisional;Comunitat Valenciana;2013;1.025
Libertad provisional;Comunitat Valenciana;2012;1.188
Libertad provisional;Comunitat Valenciana;2011;1.345
Libertad provisional;Extremadura;2023;777
Libertad provisional;Extremadura;2022;557
Libertad provisional;Extremadura;2021;430
Libertad provisional;Extremadura;2020;439
Libertad provisional;Extremadura;2019;520
Libertad provisional;Extremadura;2018;456
Libertad provisional;Extremadura;2017;430
Libertad provisional;Extremadura;2016;507
Libertad provisional;Extremadura;2015;442
Libertad provisional;Extremadura;2014;510
Libertad provisional;Extremadura;2013;509
Libertad provisional;Extremadura;2012;431
Libertad provisional;Extremadura;2011;369
Libertad provisional;Galicia;2023;576
Libertad provisional;Galicia;2022;428
Libertad provisional;Galicia;2021;332
Libertad provisional;Galicia;2020;331
Libertad provisional;Galicia;2019;439
Libertad provisional;Galicia;2018;478
Libertad provisional;Galicia;2017;412
Libertad provisional;Galicia;2016;510
Libertad provisional;Galicia;2015;474
Libertad provisional;Galicia;2014;505
Libertad provisional;Galicia;2013;492
Libertad provisional;Galicia;2012;474
Libertad provisional;Galicia;2011;485
Libertad provisional;Madrid, Comunidad de;2023;571
Libertad provisional;Madrid, Comunidad de;2022;560
Libertad provisional;Madrid, Comunidad de;2021;832
Libertad provisional;Madrid, Comunidad de;2020;648
Libertad provisional;Madrid, Comunidad de;2019;727
Libertad provisional;Madrid, Comunidad de;2018;649
Libertad provisional;Madrid, Comunidad de;2017;704
Libertad provisional;Madrid, Comunidad de;2016;734
Libertad provisional;Madrid, Comunidad de;2015;548
Libertad provisional;Madrid, Comunidad de;2014;573
Libertad provisional;Madrid, Comunidad de;2013;652
Libertad provisional;Madrid, Comunidad de;2012;756
Libertad provisional;Madrid, Comunidad de;2011;883
Libertad provisional;Murcia, Región de;2023;255
Libertad provisional;Murcia, Región de;2022;196
Libertad provisional;Murcia, Región de;2021;368
Libertad provisional;Murcia, Región de;2020;269
Libertad provisional;Murcia, Región de;2019;311
Libertad provisional;Murcia, Región de;2018;510
Libertad provisional;Murcia, Región de;2017;328
Libertad provisional;Murcia, Región de;2016;362
Libertad provisional;Murcia, Región de;2015;383
Libertad provisional;Murcia, Región de;2014;311
Libertad provisional;Murcia, Región de;2013;408
Libertad provisional;Murcia, Región de;2012;459
Libertad provisional;Murcia, Región de;2011;336
Libertad provisional;Navarra, Comunidad Foral de;2023;57
Libertad provisional;Navarra, Comunidad Foral de;2022;40
Libertad provisional;Navarra, Comunidad Foral de;2021;46
Libertad provisional;Navarra, Comunidad Foral de;2020;55
Libertad provisional;Navarra, Comunidad Foral de;2019;59
Libertad provisional;Navarra, Comunidad Foral de;2018;83
Libertad provisional;Navarra, Comunidad Foral de;2017;126
Libertad provisional;Navarra, Comunidad Foral de;2016;223
Libertad provisional;Navarra, Comunidad Foral de;2015;168
Libertad provisional;Navarra, Comunidad Foral de;2014;174
Libertad provisional;Navarra, Comunidad Foral de;2013;225
Libertad provisional;Navarra, Comunidad Foral de;2012;178
Libertad provisional;Navarra, Comunidad Foral de;2011;214
Libertad provisional;País Vasco;2023;65
Libertad provisional;País Vasco;2022;101
Libertad provisional;País Vasco;2021;58
Libertad provisional;País Vasco;2020;63
Libertad provisional;País Vasco;2019;123
Libertad provisional;País Vasco;2018;145
Libertad provisional;País Vasco;2017;173
Libertad provisional;País Vasco;2016;187
Libertad provisional;País Vasco;2015;137
Libertad provisional;País Vasco;2014;219
Libertad provisional;País Vasco;2013;165
Libertad provisional;País Vasco;2012;157
Libertad provisional;País Vasco;2011;131
Libertad provisional;Rioja, La;2023;433
Libertad provisional;Rioja, La;2022;305
Libertad provisional;Rioja, La;2021;281
Libertad provisional;Rioja, La;2020;188
Libertad provisional;Rioja, La;2019;209
Libertad provisional;Rioja, La;2018;218
Libertad provisional;Rioja, La;2017;97
Libertad provisional;Rioja, La;2016;75
Libertad provisional;Rioja, La;2015;68
Libertad provisional;Rioja, La;2014;78
Libertad provisional;Rioja, La;2013;35
Libertad provisional;Rioja, La;2012;31
Libertad provisional;Rioja, La;2011;20
Libertad provisional;Ceuta;2023;5
Libertad provisional;Ceuta;2022;4
Libertad provisional;Ceuta;2021;3
Libertad provisional;Ceuta;2020;4
Libertad provisional;Ceuta;2019;3
Libertad provisional;Ceuta;2018;2
Libertad provisional;Ceuta;2017;0
Libertad provisional;Ceuta;2016;3
Libertad provisional;Ceuta;2015;4
Libertad provisional;Ceuta;2014;1
Libertad provisional;Ceuta;2013;5
Libertad provisional;Ceuta;2012;3
Libertad provisional;Ceuta;2011;10
Libertad provisional;Melilla;2023;213
Libertad provisional;Melilla;2022;74
Libertad provisional;Melilla;2021;3
Libertad provisional;Melilla;2020;0
Libertad provisional;Melilla;2019;3
Libertad provisional;Melilla;2018;4
Libertad provisional;Melilla;2017;10
Libertad provisional;Melilla;2016;20
Libertad provisional;Melilla;2015;21
Libertad provisional;Melilla;2014;7
Libertad provisional;Melilla;2013;7
Libertad provisional;Melilla;2012;22
Libertad provisional;Melilla;2011;23
Uso de instrumento tecnológico de verificación de aproximación;Total Nacional;2023;1.938
Uso de instrumento tecnológico de verificación de aproximación;Total Nacional;2022;1.092
Uso de instrumento tecnológico de verificación de aproximación;Total Nacional;2021;921
Uso de instrumento tecnológico de verificación de aproximación;Total Nacional;2020;828
Uso de instrumento tecnológico de verificación de aproximación;Total Nacional;2019;556
Uso de instrumento tecnológico de verificación de aproximación;Total Nacional;2018;419
Uso de instrumento tecnológico de verificación de aproximación;Total Nacional;2017;345
Uso de instrumento tecnológico de verificación de aproximación;Total Nacional;2016;328
Uso de instrumento tecnológico de verificación de aproximación;Total Nacional;2015;256
Uso de instrumento tecnológico de verificación de aproximación;Total Nacional;2014;260
Uso de instrumento tecnológico de verificación de aproximación;Total Nacional;2013;222
Uso de instrumento tecnológico de verificación de aproximación;Total Nacional;2012;247
Uso de instrumento tecnológico de verificación de aproximación;Total Nacional;2011;335
Uso de instrumento tecnológico de verificación de aproximación;Andalucía;2023;659
Uso de instrumento tecnológico de verificación de aproximación;Andalucía;2022;335
Uso de instrumento tecnológico de verificación de aproximación;Andalucía;2021;348
Uso de instrumento tecnológico de verificación de aproximación;Andalucía;2020;355
Uso de instrumento tecnológico de verificación de aproximación;Andalucía;2019;175
Uso de instrumento tecnológico de verificación de aproximación;Andalucía;2018;114
Uso de instrumento tecnológico de verificación de aproximación;Andalucía;2017;96
Uso de instrumento tecnológico de verificación de aproximación;Andalucía;2016;78
Uso de instrumento tecnológico de verificación de aproximación;Andalucía;2015;73
Uso de instrumento tecnológico de verificación de aproximación;Andalucía;2014;80
Uso de instrumento tecnológico de verificación de aproximación;Andalucía;2013;57
Uso de instrumento tecnológico de verificación de aproximación;Andalucía;2012;65
Uso de instrumento tecnológico de verificación de aproximación;Andalucía;2011;59
Uso de instrumento tecnológico de verificación de aproximación;Aragón;2023;70
Uso de instrumento tecnológico de verificación de aproximación;Aragón;2022;40
Uso de instrumento tecnológico de verificación de aproximación;Aragón;2021;19
Uso de instrumento tecnológico de verificación de aproximación;Aragón;2020;24
Uso de instrumento tecnológico de verificación de aproximación;Aragón;2019;14
Uso de instrumento tecnológico de verificación de aproximación;Aragón;2018;13
Uso de instrumento tecnológico de verificación de aproximación;Aragón;2017;8
Uso de instrumento tecnológico de verificación de aproximación;Aragón;2016;26
Uso de instrumento tecnológico de verificación de aproximación;Aragón;2015;5
Uso de instrumento tecnológico de verificación de aproximación;Aragón;2014;3
Uso de instrumento tecnológico de verificación de aproximación;Aragón;2013;2
Uso de instrumento tecnológico de verificación de aproximación;Aragón;2012;4
Uso de instrumento tecnológico de verificación de aproximación;Aragón;2011;5
Uso de instrumento tecnológico de verificación de aproximación;Asturias, Principado de;2023;28
Uso de instrumento tecnológico de verificación de aproximación;Asturias, Principado de;2022;19
Uso de instrumento tecnológico de verificación de aproximación;Asturias, Principado de;2021;9
Uso de instrumento tecnológico de verificación de aproximación;Asturias, Principado de;2020;14
Uso de instrumento tecnológico de verificación de aproximación;Asturias, Principado de;2019;10
Uso de instrumento tecnológico de verificación de aproximación;Asturias, Principado de;2018;3
Uso de instrumento tecnológico de verificación de aproximación;Asturias, Principado de;2017;6
Uso de instrumento tecnológico de verificación de aproximación;Asturias, Principado de;2016;4
Uso de instrumento tecnológico de verificación de aproximación;Asturias, Principado de;2015;4
Uso de instrumento tecnológico de verificación de aproximación;Asturias, Principado de;2014;0
Uso de instrumento tecnológico de verificación de aproximación;Asturias, Principado de;2013;2
Uso de instrumento tecnológico de verificación de aproximación;Asturias, Principado de;2012;1
Uso de instrumento tecnológico de verificación de aproximación;Asturias, Principado de;2011;3
Uso de instrumento tecnológico de verificación de aproximación;Balears, Illes;2023;30
Uso de instrumento tecnológico de verificación de aproximación;Balears, Illes;2022;19
Uso de instrumento tecnológico de verificación de aproximación;Balears, Illes;2021;11
Uso de instrumento tecnológico de verificación de aproximación;Balears, Illes;2020;8
Uso de instrumento tecnológico de verificación de aproximación;Balears, Illes;2019;3
Uso de instrumento tecnológico de verificación de aproximación;Balears, Illes;2018;2
Uso de instrumento tecnológico de verificación de aproximación;Balears, Illes;2017;4
Uso de instrumento tecnológico de verificación de aproximación;Balears, Illes;2016;2
Uso de instrumento tecnológico de verificación de aproximación;Balears, Illes;2015;1
Uso de instrumento tecnológico de verificación de aproximación;Balears, Illes;2014;0
Uso de instrumento tecnológico de verificación de aproximación;Balears, Illes;2013;0
Uso de instrumento tecnológico de verificación de aproximación;Balears, Illes;2012;0
Uso de instrumento tecnológico de verificación de aproximación;Balears, Illes;2011;9
Uso de instrumento tecnológico de verificación de aproximación;Canarias;2023;97
Uso de instrumento tecnológico de verificación de aproximación;Canarias;2022;43
Uso de instrumento tecnológico de verificación de aproximación;Canarias;2021;22
Uso de instrumento tecnológico de verificación de aproximación;Canarias;2020;13
Uso de instrumento tecnológico de verificación de aproximación;Canarias;2019;13
Uso de instrumento tecnológico de verificación de aproximación;Canarias;2018;18
Uso de instrumento tecnológico de verificación de aproximación;Canarias;2017;4
Uso de instrumento tecnológico de verificación de aproximación;Canarias;2016;18
Uso de instrumento tecnológico de verificación de aproximación;Canarias;2015;16
Uso de instrumento tecnológico de verificación de aproximación;Canarias;2014;5
Uso de instrumento tecnológico de verificación de aproximación;Canarias;2013;12
Uso de instrumento tecnológico de verificación de aproximación;Canarias;2012;5
Uso de instrumento tecnológico de verificación de aproximación;Canarias;2011;13
Uso de instrumento tecnológico de verificación de aproximación;Cantabria;2023;63
Uso de instrumento tecnológico de verificación de aproximación;Cantabria;2022;15
Uso de instrumento tecnológico de verificación de aproximación;Cantabria;2021;13
Uso de instrumento tecnológico de verificación de aproximación;Cantabria;2020;5
Uso de instrumento tecnológico de verificación de aproximación;Cantabria;2019;2
Uso de instrumento tecnológico de verificación de aproximación;Cantabria;2018;2
Uso de instrumento tecnológico de verificación de aproximación;Cantabria;2017;13
Uso de instrumento tecnológico de verificación de aproximación;Cantabria;2016;10
Uso de instrumento tecnológico de verificación de aproximación;Cantabria;2015;1
Uso de instrumento tecnológico de verificación de aproximación;Cantabria;2014;3
Uso de instrumento tecnológico de verificación de aproximación;Cantabria;2013;7
Uso de instrumento tecnológico de verificación de aproximación;Cantabria;2012;7
Uso de instrumento tecnológico de verificación de aproximación;Cantabria;2011;13
Uso de instrumento tecnológico de verificación de aproximación;Castilla y León;2023;78
Uso de instrumento tecnológico de verificación de aproximación;Castilla y León;2022;47
Uso de instrumento tecnológico de verificación de aproximación;Castilla y León;2021;49
Uso de instrumento tecnológico de verificación de aproximación;Castilla y León;2020;54
Uso de instrumento tecnológico de verificación de aproximación;Castilla y León;2019;41
Uso de instrumento tecnológico de verificación de aproximación;Castilla y León;2018;17
Uso de instrumento tecnológico de verificación de aproximación;Castilla y León;2017;10
Uso de instrumento tecnológico de verificación de aproximación;Castilla y León;2016;17
Uso de instrumento tecnológico de verificación de aproximación;Castilla y León;2015;11
Uso de instrumento tecnológico de verificación de aproximación;Castilla y León;2014;6
Uso de instrumento tecnológico de verificación de aproximación;Castilla y León;2013;9
Uso de instrumento tecnológico de verificación de aproximación;Castilla y León;2012;4
Uso de instrumento tecnológico de verificación de aproximación;Castilla y León;2011;16
Uso de instrumento tecnológico de verificación de aproximación;Castilla - La Mancha;2023;122
Uso de instrumento tecnológico de verificación de aproximación;Castilla - La Mancha;2022;75
Uso de instrumento tecnológico de verificación de aproximación;Castilla - La Mancha;2021;55
Uso de instrumento tecnológico de verificación de aproximación;Castilla - La Mancha;2020;40
Uso de instrumento tecnológico de verificación de aproximación;Castilla - La Mancha;2019;32
Uso de instrumento tecnológico de verificación de aproximación;Castilla - La Mancha;2018;22
Uso de instrumento tecnológico de verificación de aproximación;Castilla - La Mancha;2017;17
Uso de instrumento tecnológico de verificación de aproximación;Castilla - La Mancha;2016;21
Uso de instrumento tecnológico de verificación de aproximación;Castilla - La Mancha;2015;4
Uso de instrumento tecnológico de verificación de aproximación;Castilla - La Mancha;2014;16
Uso de instrumento tecnológico de verificación de aproximación;Castilla - La Mancha;2013;6
Uso de instrumento tecnológico de verificación de aproximación;Castilla - La Mancha;2012;4
Uso de instrumento tecnológico de verificación de aproximación;Castilla - La Mancha;2011;8
Uso de instrumento tecnológico de verificación de aproximación;Cataluña;2023;23
Uso de instrumento tecnológico de verificación de aproximación;Cataluña;2022;14
Uso de instrumento tecnológico de verificación de aproximación;Cataluña;2021;22
Uso de instrumento tecnológico de verificación de aproximación;Cataluña;2020;14
Uso de instrumento tecnológico de verificación de aproximación;Cataluña;2019;28
Uso de instrumento tecnológico de verificación de aproximación;Cataluña;2018;29
Uso de instrumento tecnológico de verificación de aproximación;Cataluña;2017;27
Uso de instrumento tecnológico de verificación de aproximación;Cataluña;2016;12
Uso de instrumento tecnológico de verificación de aproximación;Cataluña;2015;11
Uso de instrumento tecnológico de verificación de aproximación;Cataluña;2014;9
Uso de instrumento tecnológico de verificación de aproximación;Cataluña;2013;10
Uso de instrumento tecnológico de verificación de aproximación;Cataluña;2012;15
Uso de instrumento tecnológico de verificación de aproximación;Cataluña;2011;10
Uso de instrumento tecnológico de verificación de aproximación;Comunitat Valenciana;2023;255
Uso de instrumento tecnológico de verificación de aproximación;Comunitat Valenciana;2022;157
Uso de instrumento tecnológico de verificación de aproximación;Comunitat Valenciana;2021;103
Uso de instrumento tecnológico de verificación de aproximación;Comunitat Valenciana;2020;81
Uso de instrumento tecnológico de verificación de aproximación;Comunitat Valenciana;2019;80
Uso de instrumento tecnológico de verificación de aproximación;Comunitat Valenciana;2018;67
Uso de instrumento tecnológico de verificación de aproximación;Comunitat Valenciana;2017;37
Uso de instrumento tecnológico de verificación de aproximación;Comunitat Valenciana;2016;40
Uso de instrumento tecnológico de verificación de aproximación;Comunitat Valenciana;2015;55
Uso de instrumento tecnológico de verificación de aproximación;Comunitat Valenciana;2014;38
Uso de instrumento tecnológico de verificación de aproximación;Comunitat Valenciana;2013;32
Uso de instrumento tecnológico de verificación de aproximación;Comunitat Valenciana;2012;30
Uso de instrumento tecnológico de verificación de aproximación;Comunitat Valenciana;2011;23
Uso de instrumento tecnológico de verificación de aproximación;Extremadura;2023;35
Uso de instrumento tecnológico de verificación de aproximación;Extremadura;2022;31
Uso de instrumento tecnológico de verificación de aproximación;Extremadura;2021;10
Uso de instrumento tecnológico de verificación de aproximación;Extremadura;2020;2
Uso de instrumento tecnológico de verificación de aproximación;Extremadura;2019;3
Uso de instrumento tecnológico de verificación de aproximación;Extremadura;2018;5
Uso de instrumento tecnológico de verificación de aproximación;Extremadura;2017;3
Uso de instrumento tecnológico de verificación de aproximación;Extremadura;2016;1
Uso de instrumento tecnológico de verificación de aproximación;Extremadura;2015;1
Uso de instrumento tecnológico de verificación de aproximación;Extremadura;2014;5
Uso de instrumento tecnológico de verificación de aproximación;Extremadura;2013;1
Uso de instrumento tecnológico de verificación de aproximación;Extremadura;2012;4
Uso de instrumento tecnológico de verificación de aproximación;Extremadura;2011;4
Uso de instrumento tecnológico de verificación de aproximación;Galicia;2023;146
Uso de instrumento tecnológico de verificación de aproximación;Galicia;2022;74
Uso de instrumento tecnológico de verificación de aproximación;Galicia;2021;70
Uso de instrumento tecnológico de verificación de aproximación;Galicia;2020;49
Uso de instrumento tecnológico de verificación de aproximación;Galicia;2019;22
Uso de instrumento tecnológico de verificación de aproximación;Galicia;2018;8
Uso de instrumento tecnológico de verificación de aproximación;Galicia;2017;11
Uso de instrumento tecnológico de verificación de aproximación;Galicia;2016;9
Uso de instrumento tecnológico de verificación de aproximación;Galicia;2015;2
Uso de instrumento tecnológico de verificación de aproximación;Galicia;2014;7
Uso de instrumento tecnológico de verificación de aproximación;Galicia;2013;6
Uso de instrumento tecnológico de verificación de aproximación;Galicia;2012;1
Uso de instrumento tecnológico de verificación de aproximación;Galicia;2011;6
Uso de instrumento tecnológico de verificación de aproximación;Madrid, Comunidad de;2023;199
Uso de instrumento tecnológico de verificación de aproximación;Madrid, Comunidad de;2022;131
Uso de instrumento tecnológico de verificación de aproximación;Madrid, Comunidad de;2021;127
Uso de instrumento tecnológico de verificación de aproximación;Madrid, Comunidad de;2020;115
Uso de instrumento tecnológico de verificación de aproximación;Madrid, Comunidad de;2019;103
Uso de instrumento tecnológico de verificación de aproximación;Madrid, Comunidad de;2018;98
Uso de instrumento tecnológico de verificación de aproximación;Madrid, Comunidad de;2017;102
Uso de instrumento tecnológico de verificación de aproximación;Madrid, Comunidad de;2016;74
Uso de instrumento tecnológico de verificación de aproximación;Madrid, Comunidad de;2015;63
Uso de instrumento tecnológico de verificación de aproximación;Madrid, Comunidad de;2014;78
Uso de instrumento tecnológico de verificación de aproximación;Madrid, Comunidad de;2013;71
Uso de instrumento tecnológico de verificación de aproximación;Madrid, Comunidad de;2012;92
Uso de instrumento tecnológico de verificación de aproximación;Madrid, Comunidad de;2011;137
Uso de instrumento tecnológico de verificación de aproximación;Murcia, Región de;2023;82
Uso de instrumento tecnológico de verificación de aproximación;Murcia, Región de;2022;52
Uso de instrumento tecnológico de verificación de aproximación;Murcia, Región de;2021;41
Uso de instrumento tecnológico de verificación de aproximación;Murcia, Región de;2020;42
Uso de instrumento tecnológico de verificación de aproximación;Murcia, Región de;2019;16
Uso de instrumento tecnológico de verificación de aproximación;Murcia, Región de;2018;5
Uso de instrumento tecnológico de verificación de aproximación;Murcia, Región de;2017;2
Uso de instrumento tecnológico de verificación de aproximación;Murcia, Región de;2016;8
Uso de instrumento tecnológico de verificación de aproximación;Murcia, Región de;2015;2
Uso de instrumento tecnológico de verificación de aproximación;Murcia, Región de;2014;3
Uso de instrumento tecnológico de verificación de aproximación;Murcia, Región de;2013;1
Uso de instrumento tecnológico de verificación de aproximación;Murcia, Región de;2012;0
Uso de instrumento tecnológico de verificación de aproximación;Murcia, Región de;2011;4
Uso de instrumento tecnológico de verificación de aproximación;Navarra, Comunidad Foral de;2023;23
Uso de instrumento tecnológico de verificación de aproximación;Navarra, Comunidad Foral de;2022;21
Uso de instrumento tecnológico de verificación de aproximación;Navarra, Comunidad Foral de;2021;9
Uso de instrumento tecnológico de verificación de aproximación;Navarra, Comunidad Foral de;2020;8
Uso de instrumento tecnológico de verificación de aproximación;Navarra, Comunidad Foral de;2019;5
Uso de instrumento tecnológico de verificación de aproximación;Navarra, Comunidad Foral de;2018;9
