Lugar de nacimiento;Edad de la victima;Periodo;Total
Total;De 55 a 59 años;2020;847
Total;De 55 a 59 años;2019;828
Total;De 55 a 59 años;2018;823
Total;De 55 a 59 años;2017;796
Total;De 55 a 59 años;2016;754
Total;De 55 a 59 años;2015;738
Total;De 55 a 59 años;2014;676
Total;De 55 a 59 años;2013;610
Total;De 55 a 59 años;2012;604
Total;De 55 a 59 años;2011;700
Total;De 60 a 64 años;2023;548
Total;De 60 a 64 años;2022;465
Total;De 60 a 64 años;2021;447
Total;De 60 a 64 años;2020;439
Total;De 60 a 64 años;2019;444
Total;De 60 a 64 años;2018;441
Total;De 60 a 64 años;2017;383
Total;De 60 a 64 años;2016;403
Total;De 60 a 64 años;2015;381
Total;De 60 a 64 años;2014;382
Total;De 60 a 64 años;2013;406
Total;De 60 a 64 años;2012;364
Total;De 60 a 64 años;2011;396
Total;De 65 a 69 años;2023;328
Total;De 65 a 69 años;2022;325
Total;De 65 a 69 años;2021;244
Total;De 65 a 69 años;2020;245
Total;De 65 a 69 años;2019;246
Total;De 65 a 69 años;2018;270
Total;De 65 a 69 años;2017;249
Total;De 65 a 69 años;2016;247
Total;De 65 a 69 años;2015;267
Total;De 65 a 69 años;2014;268
Total;De 65 a 69 años;2013;221
Total;De 65 a 69 años;2012;233
Total;De 65 a 69 años;2011;270
Total;De 70 a 74 años  ;2023;197
Total;De 70 a 74 años  ;2022;182
Total;De 70 a 74 años  ;2021;161
Total;De 70 a 74 años  ;2020;175
Total;De 70 a 74 años  ;2019;178
Total;De 70 a 74 años  ;2018;154
Total;De 70 a 74 años  ;2017;155
Total;De 70 a 74 años  ;2016;147
Total;De 70 a 74 años  ;2015;143
Total;De 70 a 74 años  ;2014;141
Total;De 70 a 74 años  ;2013;112
Total;De 70 a 74 años  ;2012;135
Total;De 70 a 74 años  ;2011;146
Total;75 y más años;2023;203
Total;75 y más años;2022;200
Total;75 y más años;2021;153
Total;75 y más años;2020;173
Total;75 y más años;2019;190
Total;75 y más años;2018;152
Total;75 y más años;2017;173
Total;75 y más años;2016;181
Total;75 y más años;2015;158
Total;75 y más años;2014;148
Total;75 y más años;2013;152
Total;75 y más años;2012;155
Total;75 y más años;2011;163
Europa;Todas las edades;2023;26.127
Europa;Todas las edades;2022;23.808
Europa;Todas las edades;2021;22.076
Europa;Todas las edades;2020;21.424
Europa;Todas las edades;2019;23.712
Europa;Todas las edades;2018;23.942
Europa;Todas las edades;2017;22.644
Europa;Todas las edades;2016;22.389
Europa;Todas las edades;2015;21.982
Europa;Todas las edades;2014;21.530
Europa;Todas las edades;2013;21.356
Europa;Todas las edades;2012;22.592
Europa;Todas las edades;2011;24.648
Europa;Menos de 18 años;2023;611
Europa;Menos de 18 años;2022;557
Europa;Menos de 18 años;2021;610
Europa;Menos de 18 años;2020;457
Europa;Menos de 18 años;2019;641
Europa;Menos de 18 años;2018;589
Europa;Menos de 18 años;2017;572
Europa;Menos de 18 años;2016;495
Europa;Menos de 18 años;2015;559
Europa;Menos de 18 años;2014;503
Europa;Menos de 18 años;2013;430
Europa;Menos de 18 años;2012;467
Europa;Menos de 18 años;2011;475
Europa;De 18 a 19 años;2023;904
Europa;De 18 a 19 años;2022;797
Europa;De 18 a 19 años;2021;806
Europa;De 18 a 19 años;2020;729
Europa;De 18 a 19 años;2019;838
Europa;De 18 a 19 años;2018;843
Europa;De 18 a 19 años;2017;786
Europa;De 18 a 19 años;2016;769
Europa;De 18 a 19 años;2015;747
Europa;De 18 a 19 años;2014;743
Europa;De 18 a 19 años;2013;686
Europa;De 18 a 19 años;2012;723
Europa;De 18 a 19 años;2011;851
Europa;De 20 a 24 años;2023;2.751
Europa;De 20 a 24 años;2022;2.486
Europa;De 20 a 24 años;2021;2.354
Europa;De 20 a 24 años;2020;2.186
Europa;De 20 a 24 años;2019;2.496
Europa;De 20 a 24 años;2018;2.609
