Comunidades y ciudades autónomas;Lugar de nacimiento de la victima;Periodo;Total
Aragón;África;2023;143
Aragón;África;2022;105
Aragón;África;2021;75
Aragón;África;2020;84
Aragón;África;2019;102
Aragón;África;2018;93
Aragón;África;2017;68
Aragón;África;2016;98
Aragón;África;2015;78
Aragón;África;2014;107
Aragón;África;2013;73
Aragón;África;2012;71
Aragón;África;2011;90
Aragón;América;2023;208
Aragón;América;2022;168
Aragón;América;2021;106
Aragón;América;2020;119
Aragón;América;2019;142
Aragón;América;2018;110
Aragón;América;2017;112
Aragón;América;2016;123
Aragón;América;2015;77
Aragón;América;2014;102
Aragón;América;2013;78
Aragón;América;2012;102
Aragón;América;2011;120
Aragón;Asia;2023;19
Aragón;Asia;2022;9
Aragón;Asia;2021;5
Aragón;Asia;2020;5
Aragón;Asia;2019;3
Aragón;Asia;2018;4
Aragón;Asia;2017;8
Aragón;Asia;2016;3
Aragón;Asia;2015;7
Aragón;Asia;2014;5
Aragón;Asia;2013;6
Aragón;Asia;2012;6
Aragón;Asia;2011;2
Aragón;Oceanía ;2023;0
Aragón;Oceanía ;2022;0
Aragón;Oceanía ;2021;0
Aragón;Oceanía ;2020;0
Aragón;Oceanía ;2019;0
Aragón;Oceanía ;2018;0
Aragón;Oceanía ;2017;0
Aragón;Oceanía ;2016;0
Aragón;Oceanía ;2015;0
Aragón;Oceanía ;2014;0
Aragón;Oceanía ;2013;0
Aragón;Oceanía ;2012;0
Aragón;Oceanía ;2011;2
Asturias, Principado de;Total;2023;759
Asturias, Principado de;Total;2022;723
Asturias, Principado de;Total;2021;534
Asturias, Principado de;Total;2020;623
Asturias, Principado de;Total;2019;640
Asturias, Principado de;Total;2018;607
Asturias, Principado de;Total;2017;610
Asturias, Principado de;Total;2016;568
Asturias, Principado de;Total;2015;487
Asturias, Principado de;Total;2014;467
Asturias, Principado de;Total;2013;449
Asturias, Principado de;Total;2012;442
Asturias, Principado de;Total;2011;598
Asturias, Principado de;Europa;2023;637
Asturias, Principado de;Europa;2022;610
Asturias, Principado de;Europa;2021;453
Asturias, Principado de;Europa;2020;531
Asturias, Principado de;Europa;2019;556
Asturias, Principado de;Europa;2018;550
Asturias, Principado de;Europa;2017;550
Asturias, Principado de;Europa;2016;514
Asturias, Principado de;Europa;2015;438
Asturias, Principado de;Europa;2014;420
Asturias, Principado de;Europa;2013;408
Asturias, Principado de;Europa;2012;387
Asturias, Principado de;Europa;2011;536
Asturias, Principado de;España;2023;586
Asturias, Principado de;España;2022;564
Asturias, Principado de;España;2021;420
Asturias, Principado de;España;2020;493
Asturias, Principado de;España;2019;519
Asturias, Principado de;España;2018;505
Asturias, Principado de;España;2017;511
Asturias, Principado de;España;2016;476
Asturias, Principado de;España;2015;409
Asturias, Principado de;España;2014;389
Asturias, Principado de;España;2013;369
Asturias, Principado de;España;2012;356
Asturias, Principado de;España;2011;494
Asturias, Principado de;UE28 sin España;2023;""
Asturias, Principado de;UE28 sin España;2022;""
Asturias, Principado de;UE28 sin España;2021;""
Asturias, Principado de;UE28 sin España;2020;""
Asturias, Principado de;UE28 sin España;2019;30
Asturias, Principado de;UE28 sin España;2018;37
Asturias, Principado de;UE28 sin España;2017;36
Asturias, Principado de;UE28 sin España;2016;33
Asturias, Principado de;UE28 sin España;2015;27
Asturias, Principado de;UE28 sin España;2014;29
Asturias, Principado de;UE28 sin España;2013;37
Asturias, Principado de;UE28 sin España;2012;29
Asturias, Principado de;UE28 sin España;2011;39
Asturias, Principado de;UE27_2020 sin España;2023;42
Asturias, Principado de;UE27_2020 sin España;2022;40
Asturias, Principado de;UE27_2020 sin España;2021;29
Asturias, Principado de;UE27_2020 sin España;2020;33
Asturias, Principado de;UE27_2020 sin España;2019;""
Asturias, Principado de;UE27_2020 sin España;2018;""
Asturias, Principado de;UE27_2020 sin España;2017;""
Asturias, Principado de;UE27_2020 sin España;2016;""
Asturias, Principado de;UE27_2020 sin España;2015;""
Asturias, Principado de;UE27_2020 sin España;2014;""
Asturias, Principado de;UE27_2020 sin España;2013;""
Asturias, Principado de;UE27_2020 sin España;2012;""
Asturias, Principado de;UE27_2020 sin España;2011;""
Asturias, Principado de;Europa menos UE28;2023;""
Asturias, Principado de;Europa menos UE28;2022;""
Asturias, Principado de;Europa menos UE28;2021;""
Asturias, Principado de;Europa menos UE28;2020;""
Asturias, Principado de;Europa menos UE28;2019;7
Asturias, Principado de;Europa menos UE28;2018;8
Asturias, Principado de;Europa menos UE28;2017;3
Asturias, Principado de;Europa menos UE28;2016;5
Asturias, Principado de;Europa menos UE28;2015;2
Asturias, Principado de;Europa menos UE28;2014;2
Asturias, Principado de;Europa menos UE28;2013;2
Asturias, Principado de;Europa menos UE28;2012;2
Asturias, Principado de;Europa menos UE28;2011;3
Asturias, Principado de;Europa menos UE27_2020;2023;9
Asturias, Principado de;Europa menos UE27_2020;2022;6
Asturias, Principado de;Europa menos UE27_2020;2021;4
Asturias, Principado de;Europa menos UE27_2020;2020;5
