Comunidades y ciudades autónomas;Lugar de nacimiento de la victima;Periodo;Total
Navarra, Comunidad Foral de;UE27_2020 sin España;2020;30
Navarra, Comunidad Foral de;UE27_2020 sin España;2019;""
Navarra, Comunidad Foral de;UE27_2020 sin España;2018;""
Navarra, Comunidad Foral de;UE27_2020 sin España;2017;""
Navarra, Comunidad Foral de;UE27_2020 sin España;2016;""
Navarra, Comunidad Foral de;UE27_2020 sin España;2015;""
Navarra, Comunidad Foral de;UE27_2020 sin España;2014;""
Navarra, Comunidad Foral de;UE27_2020 sin España;2013;""
Navarra, Comunidad Foral de;UE27_2020 sin España;2012;""
Navarra, Comunidad Foral de;UE27_2020 sin España;2011;""
Navarra, Comunidad Foral de;Europa menos UE28;2023;""
Navarra, Comunidad Foral de;Europa menos UE28;2022;""
Navarra, Comunidad Foral de;Europa menos UE28;2021;""
Navarra, Comunidad Foral de;Europa menos UE28;2020;""
Navarra, Comunidad Foral de;Europa menos UE28;2019;5
Navarra, Comunidad Foral de;Europa menos UE28;2018;6
Navarra, Comunidad Foral de;Europa menos UE28;2017;5
Navarra, Comunidad Foral de;Europa menos UE28;2016;6
Navarra, Comunidad Foral de;Europa menos UE28;2015;3
Navarra, Comunidad Foral de;Europa menos UE28;2014;4
Navarra, Comunidad Foral de;Europa menos UE28;2013;5
Navarra, Comunidad Foral de;Europa menos UE28;2012;4
Navarra, Comunidad Foral de;Europa menos UE28;2011;2
Navarra, Comunidad Foral de;Europa menos UE27_2020;2023;12
Navarra, Comunidad Foral de;Europa menos UE27_2020;2022;8
Navarra, Comunidad Foral de;Europa menos UE27_2020;2021;4
Navarra, Comunidad Foral de;Europa menos UE27_2020;2020;8
Navarra, Comunidad Foral de;Europa menos UE27_2020;2019;""
Navarra, Comunidad Foral de;Europa menos UE27_2020;2018;""
Navarra, Comunidad Foral de;Europa menos UE27_2020;2017;""
Navarra, Comunidad Foral de;Europa menos UE27_2020;2016;""
Navarra, Comunidad Foral de;Europa menos UE27_2020;2015;""
Navarra, Comunidad Foral de;Europa menos UE27_2020;2014;""
Navarra, Comunidad Foral de;Europa menos UE27_2020;2013;""
Navarra, Comunidad Foral de;Europa menos UE27_2020;2012;""
Navarra, Comunidad Foral de;Europa menos UE27_2020;2011;""
Navarra, Comunidad Foral de;África;2023;76
Navarra, Comunidad Foral de;África;2022;56
Navarra, Comunidad Foral de;África;2021;61
Navarra, Comunidad Foral de;África;2020;42
Navarra, Comunidad Foral de;África;2019;52
Navarra, Comunidad Foral de;África;2018;46
Navarra, Comunidad Foral de;África;2017;38
Navarra, Comunidad Foral de;África;2016;39
Navarra, Comunidad Foral de;África;2015;46
Navarra, Comunidad Foral de;África;2014;30
Navarra, Comunidad Foral de;África;2013;34
Navarra, Comunidad Foral de;África;2012;37
Navarra, Comunidad Foral de;África;2011;48
Navarra, Comunidad Foral de;América;2023;121
Navarra, Comunidad Foral de;América;2022;93
Navarra, Comunidad Foral de;América;2021;69
Navarra, Comunidad Foral de;América;2020;73
Navarra, Comunidad Foral de;América;2019;90
Navarra, Comunidad Foral de;América;2018;88
Navarra, Comunidad Foral de;América;2017;77
Navarra, Comunidad Foral de;América;2016;104
Navarra, Comunidad Foral de;América;2015;87
Navarra, Comunidad Foral de;América;2014;74
Navarra, Comunidad Foral de;América;2013;93
Navarra, Comunidad Foral de;América;2012;92
Navarra, Comunidad Foral de;América;2011;113
Navarra, Comunidad Foral de;Asia;2023;4
Navarra, Comunidad Foral de;Asia;2022;2
Navarra, Comunidad Foral de;Asia;2021;3
Navarra, Comunidad Foral de;Asia;2020;1
Navarra, Comunidad Foral de;Asia;2019;3
Navarra, Comunidad Foral de;Asia;2018;2
Navarra, Comunidad Foral de;Asia;2017;2
Navarra, Comunidad Foral de;Asia;2016;2
Navarra, Comunidad Foral de;Asia;2015;4
Navarra, Comunidad Foral de;Asia;2014;3
Navarra, Comunidad Foral de;Asia;2013;5
Navarra, Comunidad Foral de;Asia;2012;2
Navarra, Comunidad Foral de;Asia;2011;1
Navarra, Comunidad Foral de;Oceanía ;2023;0
Navarra, Comunidad Foral de;Oceanía ;2022;0
Navarra, Comunidad Foral de;Oceanía ;2021;0
Navarra, Comunidad Foral de;Oceanía ;2020;0
Navarra, Comunidad Foral de;Oceanía ;2019;0
Navarra, Comunidad Foral de;Oceanía ;2018;0
Navarra, Comunidad Foral de;Oceanía ;2017;0
Navarra, Comunidad Foral de;Oceanía ;2016;0
Navarra, Comunidad Foral de;Oceanía ;2015;0
Navarra, Comunidad Foral de;Oceanía ;2014;0
Navarra, Comunidad Foral de;Oceanía ;2013;0
Navarra, Comunidad Foral de;Oceanía ;2012;0
Navarra, Comunidad Foral de;Oceanía ;2011;0
País Vasco;Total;2023;750
País Vasco;Total;2022;780
País Vasco;Total;2021;610
País Vasco;Total;2020;558
País Vasco;Total;2019;717
País Vasco;Total;2018;746
País Vasco;Total;2017;674
País Vasco;Total;2016;638
País Vasco;Total;2015;543
País Vasco;Total;2014;580
País Vasco;Total;2013;609
País Vasco;Total;2012;674
País Vasco;Total;2011;669
País Vasco;Europa;2023;403
País Vasco;Europa;2022;458
País Vasco;Europa;2021;370
País Vasco;Europa;2020;336
País Vasco;Europa;2019;428
País Vasco;Europa;2018;478
País Vasco;Europa;2017;421
País Vasco;Europa;2016;425
País Vasco;Europa;2015;369
País Vasco;Europa;2014;393
País Vasco;Europa;2013;410
País Vasco;Europa;2012;451
País Vasco;Europa;2011;460
País Vasco;España;2023;345
País Vasco;España;2022;389
País Vasco;España;2021;328
País Vasco;España;2020;301
País Vasco;España;2019;382
País Vasco;España;2018;420
País Vasco;España;2017;360
País Vasco;España;2016;377
País Vasco;España;2015;324
País Vasco;España;2014;357
País Vasco;España;2013;363
País Vasco;España;2012;394
País Vasco;España;2011;407
País Vasco;UE28 sin España;2023;""
País Vasco;UE28 sin España;2022;""
País Vasco;UE28 sin España;2021;""
País Vasco;UE28 sin España;2020;""
País Vasco;UE28 sin España;2019;38
País Vasco;UE28 sin España;2018;48
País Vasco;UE28 sin España;2017;51
País Vasco;UE28 sin España;2016;44
País Vasco;UE28 sin España;2015;41
País Vasco;UE28 sin España;2014;33
País Vasco;UE28 sin España;2013;44
País Vasco;UE28 sin España;2012;52
País Vasco;UE28 sin España;2011;50
País Vasco;UE27_2020 sin España;2023;50
País Vasco;UE27_2020 sin España;2022;51
País Vasco;UE27_2020 sin España;2021;33
País Vasco;UE27_2020 sin España;2020;29
País Vasco;UE27_2020 sin España;2019;""
País Vasco;UE27_2020 sin España;2018;""
País Vasco;UE27_2020 sin España;2017;""
País Vasco;UE27_2020 sin España;2016;""
País Vasco;UE27_2020 sin España;2015;""
País Vasco;UE27_2020 sin España;2014;""
País Vasco;UE27_2020 sin España;2013;""
País Vasco;UE27_2020 sin España;2012;""
País Vasco;UE27_2020 sin España;2011;""
País Vasco;Europa menos UE28;2023;""
País Vasco;Europa menos UE28;2022;""
País Vasco;Europa menos UE28;2021;""
País Vasco;Europa menos UE28;2020;""
País Vasco;Europa menos UE28;2019;8
País Vasco;Europa menos UE28;2018;10
País Vasco;Europa menos UE28;2017;10
País Vasco;Europa menos UE28;2016;4
País Vasco;Europa menos UE28;2015;4
País Vasco;Europa menos UE28;2014;3
País Vasco;Europa menos UE28;2013;3
País Vasco;Europa menos UE28;2012;5
País Vasco;Europa menos UE28;2011;3
País Vasco;Europa menos UE27_2020;2023;8
País Vasco;Europa menos UE27_2020;2022;18
País Vasco;Europa menos UE27_2020;2021;9
País Vasco;Europa menos UE27_2020;2020;6
País Vasco;Europa menos UE27_2020;2019;""
País Vasco;Europa menos UE27_2020;2018;""
País Vasco;Europa menos UE27_2020;2017;""
País Vasco;Europa menos UE27_2020;2016;""
País Vasco;Europa menos UE27_2020;2015;""
País Vasco;Europa menos UE27_2020;2014;""
País Vasco;Europa menos UE27_2020;2013;""
País Vasco;Europa menos UE27_2020;2012;""
País Vasco;Europa menos UE27_2020;2011;""
País Vasco;África;2023;139
País Vasco;África;2022;148
País Vasco;África;2021;97
País Vasco;África;2020;96
País Vasco;África;2019;133
País Vasco;África;2018;112
País Vasco;África;2017;100
País Vasco;África;2016;89
País Vasco;África;2015;73
País Vasco;África;2014;82
País Vasco;África;2013;86
País Vasco;África;2012;89
País Vasco;África;2011;74
País Vasco;América;2023;193
País Vasco;América;2022;169
País Vasco;América;2021;132
País Vasco;América;2020;119
País Vasco;América;2019;138
País Vasco;América;2018;150
País Vasco;América;2017;143
País Vasco;América;2016;112
País Vasco;América;2015;94
País Vasco;América;2014;100
País Vasco;América;2013;106
País Vasco;América;2012;131
País Vasco;América;2011;129
País Vasco;Asia;2023;15
País Vasco;Asia;2022;5
País Vasco;Asia;2021;11
País Vasco;Asia;2020;7
País Vasco;Asia;2019;18
País Vasco;Asia;2018;6
País Vasco;Asia;2017;10
País Vasco;Asia;2016;12
País Vasco;Asia;2015;7
País Vasco;Asia;2014;5
País Vasco;Asia;2013;6
País Vasco;Asia;2012;3
País Vasco;Asia;2011;5
País Vasco;Oceanía ;2023;0
País Vasco;Oceanía ;2022;0
País Vasco;Oceanía ;2021;0
País Vasco;Oceanía ;2020;0
País Vasco;Oceanía ;2019;0
País Vasco;Oceanía ;2018;0
País Vasco;Oceanía ;2017;0
País Vasco;Oceanía ;2016;0
País Vasco;Oceanía ;2015;0
País Vasco;Oceanía ;2014;0
País Vasco;Oceanía ;2013;1
País Vasco;Oceanía ;2012;0
País Vasco;Oceanía ;2011;1
Rioja, La;Total;2023;452
Rioja, La;Total;2022;375
Rioja, La;Total;2021;356
Rioja, La;Total;2020;286
Rioja, La;Total;2019;294
Rioja, La;Total;2018;326
Rioja, La;Total;2017;225
Rioja, La;Total;2016;223
Rioja, La;Total;2015;198
Rioja, La;Total;2014;196
Rioja, La;Total;2013;166
Rioja, La;Total;2012;195
Rioja, La;Total;2011;189
Rioja, La;Europa;2023;288
Rioja, La;Europa;2022;246
Rioja, La;Europa;2021;232
Rioja, La;Europa;2020;192
Rioja, La;Europa;2019;197
Rioja, La;Europa;2018;214
Rioja, La;Europa;2017;149
Rioja, La;Europa;2016;157
Rioja, La;Europa;2015;144
Rioja, La;Europa;2014;142
Rioja, La;Europa;2013;130
Rioja, La;Europa;2012;130
Rioja, La;Europa;2011;129
Rioja, La;España;2023;231
Rioja, La;España;2022;196
Rioja, La;España;2021;179
Rioja, La;España;2020;151
Rioja, La;España;2019;160
Rioja, La;España;2018;166
Rioja, La;España;2017;116
Rioja, La;España;2016;127
Rioja, La;España;2015;114
Rioja, La;España;2014;121
Rioja, La;España;2013;100
Rioja, La;España;2012;95
Rioja, La;España;2011;87
Rioja, La;UE28 sin España;2023;""
Rioja, La;UE28 sin España;2022;""
Rioja, La;UE28 sin España;2021;""
Rioja, La;UE28 sin España;2020;""
Rioja, La;UE28 sin España;2019;35
Rioja, La;UE28 sin España;2018;46
Rioja, La;UE28 sin España;2017;30
Rioja, La;UE28 sin España;2016;27
Rioja, La;UE28 sin España;2015;29
Rioja, La;UE28 sin España;2014;19
Rioja, La;UE28 sin España;2013;28
Rioja, La;UE28 sin España;2012;32
Rioja, La;UE28 sin España;2011;37
Rioja, La;UE27_2020 sin España;2023;51
Rioja, La;UE27_2020 sin España;2022;44
Rioja, La;UE27_2020 sin España;2021;52
Rioja, La;UE27_2020 sin España;2020;37
Rioja, La;UE27_2020 sin España;2019;""
Rioja, La;UE27_2020 sin España;2018;""
Rioja, La;UE27_2020 sin España;2017;""
Rioja, La;UE27_2020 sin España;2016;""
Rioja, La;UE27_2020 sin España;2015;""
Rioja, La;UE27_2020 sin España;2014;""
Rioja, La;UE27_2020 sin España;2013;""
Rioja, La;UE27_2020 sin España;2012;""
Rioja, La;UE27_2020 sin España;2011;""
Rioja, La;Europa menos UE28;2023;""
Rioja, La;Europa menos UE28;2022;""
Rioja, La;Europa menos UE28;2021;""
Rioja, La;Europa menos UE28;2020;""
Rioja, La;Europa menos UE28;2019;2
Rioja, La;Europa menos UE28;2018;2
Rioja, La;Europa menos UE28;2017;3
Rioja, La;Europa menos UE28;2016;3
Rioja, La;Europa menos UE28;2015;1
Rioja, La;Europa menos UE28;2014;2
Rioja, La;Europa menos UE28;2013;2
Rioja, La;Europa menos UE28;2012;3
Rioja, La;Europa menos UE28;2011;5
Rioja, La;Europa menos UE27_2020;2023;6
Rioja, La;Europa menos UE27_2020;2022;6
Rioja, La;Europa menos UE27_2020;2021;1
Rioja, La;Europa menos UE27_2020;2020;4
Rioja, La;Europa menos UE27_2020;2019;""
Rioja, La;Europa menos UE27_2020;2018;""
Rioja, La;Europa menos UE27_2020;2017;""
Rioja, La;Europa menos UE27_2020;2016;""
Rioja, La;Europa menos UE27_2020;2015;""
Rioja, La;Europa menos UE27_2020;2014;""
Rioja, La;Europa menos UE27_2020;2013;""
Rioja, La;Europa menos UE27_2020;2012;""
Rioja, La;Europa menos UE27_2020;2011;""
Rioja, La;África;2023;59
Rioja, La;África;2022;40
Rioja, La;África;2021;62
Rioja, La;África;2020;34
Rioja, La;África;2019;39
Rioja, La;África;2018;40
Rioja, La;África;2017;27
Rioja, La;África;2016;20
Rioja, La;África;2015;17
Rioja, La;África;2014;16
Rioja, La;África;2013;14
Rioja, La;África;2012;27
Rioja, La;África;2011;18
Rioja, La;América;2023;99
Rioja, La;América;2022;86
Rioja, La;América;2021;58
Rioja, La;América;2020;55
Rioja, La;América;2019;51
Rioja, La;América;2018;68
Rioja, La;América;2017;45
Rioja, La;América;2016;42
Rioja, La;América;2015;35
Rioja, La;América;2014;36
Rioja, La;América;2013;18
Rioja, La;América;2012;36
Rioja, La;América;2011;40
Rioja, La;Asia;2023;6
Rioja, La;Asia;2022;3
Rioja, La;Asia;2021;2
Rioja, La;Asia;2020;5
Rioja, La;Asia;2019;7
Rioja, La;Asia;2018;4
Rioja, La;Asia;2017;4
Rioja, La;Asia;2016;4
Rioja, La;Asia;2015;2
Rioja, La;Asia;2014;2
Rioja, La;Asia;2013;4
Rioja, La;Asia;2012;2
Rioja, La;Asia;2011;2
Rioja, La;Oceanía ;2023;0
Rioja, La;Oceanía ;2022;0
Rioja, La;Oceanía ;2021;2
Rioja, La;Oceanía ;2020;0
Rioja, La;Oceanía ;2019;0
Rioja, La;Oceanía ;2018;0
Rioja, La;Oceanía ;2017;0
Rioja, La;Oceanía ;2016;0
Rioja, La;Oceanía ;2015;0
Rioja, La;Oceanía ;2014;0
Rioja, La;Oceanía ;2013;0
Rioja, La;Oceanía ;2012;0
Rioja, La;Oceanía ;2011;0
Ceuta;Total;2023;96
Ceuta;Total;2022;72
Ceuta;Total;2021;77
Ceuta;Total;2020;61
Ceuta;Total;2019;61
Ceuta;Total;2018;65
Ceuta;Total;2017;74
Ceuta;Total;2016;91
Ceuta;Total;2015;60
Ceuta;Total;2014;50
Ceuta;Total;2013;58
Ceuta;Total;2012;44
Ceuta;Total;2011;54
Ceuta;Europa;2023;71
Ceuta;Europa;2022;52
Ceuta;Europa;2021;60
Ceuta;Europa;2020;45
Ceuta;Europa;2019;46
Ceuta;Europa;2018;45
Ceuta;Europa;2017;53
Ceuta;Europa;2016;75
Ceuta;Europa;2015;46
Ceuta;Europa;2014;37
Ceuta;Europa;2013;44
Ceuta;Europa;2012;34
Ceuta;Europa;2011;40
Ceuta;España;2023;70
Ceuta;España;2022;51
Ceuta;España;2021;60
Ceuta;España;2020;44
Ceuta;España;2019;45
Ceuta;España;2018;45
Ceuta;España;2017;53
Ceuta;España;2016;75
Ceuta;España;2015;44
Ceuta;España;2014;37
Ceuta;España;2013;44
Ceuta;España;2012;34
Ceuta;España;2011;39
Ceuta;UE28 sin España;2023;""
Ceuta;UE28 sin España;2022;""
Ceuta;UE28 sin España;2021;""
Ceuta;UE28 sin España;2020;""
Ceuta;UE28 sin España;2019;1
Ceuta;UE28 sin España;2018;0
Ceuta;UE28 sin España;2017;0
Ceuta;UE28 sin España;2016;0
Ceuta;UE28 sin España;2015;2
Ceuta;UE28 sin España;2014;0
Ceuta;UE28 sin España;2013;0
Ceuta;UE28 sin España;2012;0
Ceuta;UE28 sin España;2011;1
Ceuta;UE27_2020 sin España;2023;1
Ceuta;UE27_2020 sin España;2022;1
Ceuta;UE27_2020 sin España;2021;0
Ceuta;UE27_2020 sin España;2020;1
Ceuta;UE27_2020 sin España;2019;""
Ceuta;UE27_2020 sin España;2018;""
Ceuta;UE27_2020 sin España;2017;""
Ceuta;UE27_2020 sin España;2016;""
Ceuta;UE27_2020 sin España;2015;""
Ceuta;UE27_2020 sin España;2014;""
Ceuta;UE27_2020 sin España;2013;""
Ceuta;UE27_2020 sin España;2012;""
Ceuta;UE27_2020 sin España;2011;""
Ceuta;Europa menos UE28;2023;""
Ceuta;Europa menos UE28;2022;""
Ceuta;Europa menos UE28;2021;""
Ceuta;Europa menos UE28;2020;""
Ceuta;Europa menos UE28;2019;0
Ceuta;Europa menos UE28;2018;0
Ceuta;Europa menos UE28;2017;0
Ceuta;Europa menos UE28;2016;0
Ceuta;Europa menos UE28;2015;0
Ceuta;Europa menos UE28;2014;0
Ceuta;Europa menos UE28;2013;0
Ceuta;Europa menos UE28;2012;0
Ceuta;Europa menos UE28;2011;0
Ceuta;Europa menos UE27_2020;2023;0
Ceuta;Europa menos UE27_2020;2022;0
Ceuta;Europa menos UE27_2020;2021;0
Ceuta;Europa menos UE27_2020;2020;0
Ceuta;Europa menos UE27_2020;2019;""
Ceuta;Europa menos UE27_2020;2018;""
Ceuta;Europa menos UE27_2020;2017;""
Ceuta;Europa menos UE27_2020;2016;""
Ceuta;Europa menos UE27_2020;2015;""
Ceuta;Europa menos UE27_2020;2014;""
Ceuta;Europa menos UE27_2020;2013;""
Ceuta;Europa menos UE27_2020;2012;""
Ceuta;Europa menos UE27_2020;2011;""
Ceuta;África;2023;25
Ceuta;África;2022;20
Ceuta;África;2021;16
Ceuta;África;2020;16
Ceuta;África;2019;15
Ceuta;África;2018;20
Ceuta;África;2017;21
Ceuta;África;2016;15
Ceuta;África;2015;11
Ceuta;África;2014;12
Ceuta;África;2013;13
Ceuta;África;2012;9
Ceuta;África;2011;14
Ceuta;América;2023;0
Ceuta;América;2022;0
Ceuta;América;2021;1
Ceuta;América;2020;0
Ceuta;América;2019;0
Ceuta;América;2018;0
Ceuta;América;2017;0
Ceuta;América;2016;1
Ceuta;América;2015;2
Ceuta;América;2014;1
Ceuta;América;2013;1
Ceuta;América;2012;1
Ceuta;América;2011;0
Ceuta;Asia;2023;0
Ceuta;Asia;2022;0
Ceuta;Asia;2021;0
Ceuta;Asia;2020;0
Ceuta;Asia;2019;0
Ceuta;Asia;2018;0
Ceuta;Asia;2017;0
Ceuta;Asia;2016;0
Ceuta;Asia;2015;1
Ceuta;Asia;2014;0
Ceuta;Asia;2013;0
Ceuta;Asia;2012;0
Ceuta;Asia;2011;0
Ceuta;Oceanía ;2023;0
Ceuta;Oceanía ;2022;0
Ceuta;Oceanía ;2021;0
Ceuta;Oceanía ;2020;0
Ceuta;Oceanía ;2019;0
Ceuta;Oceanía ;2018;0
Ceuta;Oceanía ;2017;0
Ceuta;Oceanía ;2016;0
Ceuta;Oceanía ;2015;0
Ceuta;Oceanía ;2014;0
Ceuta;Oceanía ;2013;0
Ceuta;Oceanía ;2012;0
Ceuta;Oceanía ;2011;0
Melilla;Total;2023;197
Melilla;Total;2022;127
Melilla;Total;2021;52
Melilla;Total;2020;78
Melilla;Total;2019;69
Melilla;Total;2018;62
Melilla;Total;2017;76
Melilla;Total;2016;53
Melilla;Total;2015;99
Melilla;Total;2014;62
Melilla;Total;2013;51
Melilla;Total;2012;54
Melilla;Total;2011;53
Melilla;Europa;2023;144
Melilla;Europa;2022;93
Melilla;Europa;2021;35
Melilla;Europa;2020;44
Melilla;Europa;2019;43
Melilla;Europa;2018;36
Melilla;Europa;2017;48
Melilla;Europa;2016;30
Melilla;Europa;2015;65
Melilla;Europa;2014;42
Melilla;Europa;2013;31
Melilla;Europa;2012;31
Melilla;Europa;2011;34
Melilla;España;2023;141
Melilla;España;2022;91
Melilla;España;2021;35
Melilla;España;2020;43
Melilla;España;2019;41
Melilla;España;2018;35
Melilla;España;2017;48
Melilla;España;2016;30
Melilla;España;2015;64
Melilla;España;2014;42
Melilla;España;2013;31
Melilla;España;2012;30
Melilla;España;2011;34
Melilla;UE28 sin España;2023;""
Melilla;UE28 sin España;2022;""
Melilla;UE28 sin España;2021;""
Melilla;UE28 sin España;2020;""
Melilla;UE28 sin España;2019;2
Melilla;UE28 sin España;2018;1
Melilla;UE28 sin España;2017;0
Melilla;UE28 sin España;2016;0
Melilla;UE28 sin España;2015;1
Melilla;UE28 sin España;2014;0
Melilla;UE28 sin España;2013;0
Melilla;UE28 sin España;2012;1
Melilla;UE28 sin España;2011;0
Melilla;UE27_2020 sin España;2023;3
Melilla;UE27_2020 sin España;2022;2
Melilla;UE27_2020 sin España;2021;0
Melilla;UE27_2020 sin España;2020;1
Melilla;UE27_2020 sin España;2019;""
Melilla;UE27_2020 sin España;2018;""
Melilla;UE27_2020 sin España;2017;""
Melilla;UE27_2020 sin España;2016;""
Melilla;UE27_2020 sin España;2015;""
Melilla;UE27_2020 sin España;2014;""
Melilla;UE27_2020 sin España;2013;""
Melilla;UE27_2020 sin España;2012;""
Melilla;UE27_2020 sin España;2011;""
Melilla;Europa menos UE28;2023;""
Melilla;Europa menos UE28;2022;""
Melilla;Europa menos UE28;2021;""
Melilla;Europa menos UE28;2020;""
Melilla;Europa menos UE28;2019;0
Melilla;Europa menos UE28;2018;0
Melilla;Europa menos UE28;2017;0
Melilla;Europa menos UE28;2016;0
Melilla;Europa menos UE28;2015;0
Melilla;Europa menos UE28;2014;0
Melilla;Europa menos UE28;2013;0
Melilla;Europa menos UE28;2012;0
Melilla;Europa menos UE28;2011;0
Melilla;Europa menos UE27_2020;2023;0
Melilla;Europa menos UE27_2020;2022;0
Melilla;Europa menos UE27_2020;2021;0
Melilla;Europa menos UE27_2020;2020;0
Melilla;Europa menos UE27_2020;2019;""
Melilla;Europa menos UE27_2020;2018;""
Melilla;Europa menos UE27_2020;2017;""
Melilla;Europa menos UE27_2020;2016;""
Melilla;Europa menos UE27_2020;2015;""
Melilla;Europa menos UE27_2020;2014;""
Melilla;Europa menos UE27_2020;2013;""
Melilla;Europa menos UE27_2020;2012;""
Melilla;Europa menos UE27_2020;2011;""
Melilla;África;2023;49
Melilla;África;2022;33
Melilla;África;2021;15
Melilla;África;2020;33
Melilla;África;2019;26
Melilla;África;2018;25
Melilla;África;2017;26
Melilla;África;2016;23
Melilla;África;2015;31
Melilla;África;2014;19
Melilla;África;2013;19
Melilla;África;2012;22
Melilla;África;2011;17
Melilla;América;2023;4
Melilla;América;2022;0
Melilla;América;2021;2
Melilla;América;2020;1
Melilla;América;2019;0
Melilla;América;2018;0
Melilla;América;2017;1
Melilla;América;2016;0
Melilla;América;2015;0
Melilla;América;2014;1
Melilla;América;2013;1
Melilla;América;2012;1
Melilla;América;2011;1
Melilla;Asia;2023;0
Melilla;Asia;2022;1
Melilla;Asia;2021;0
Melilla;Asia;2020;0
Melilla;Asia;2019;0
Melilla;Asia;2018;1
Melilla;Asia;2017;1
Melilla;Asia;2016;0
Melilla;Asia;2015;3
Melilla;Asia;2014;0
Melilla;Asia;2013;0
Melilla;Asia;2012;0
Melilla;Asia;2011;1
Melilla;Oceanía ;2023;0
Melilla;Oceanía ;2022;0
Melilla;Oceanía ;2021;0
Melilla;Oceanía ;2020;0
Melilla;Oceanía ;2019;0
Melilla;Oceanía ;2018;0
Melilla;Oceanía ;2017;0
Melilla;Oceanía ;2016;0
Melilla;Oceanía ;2015;0
Melilla;Oceanía ;2014;0
Melilla;Oceanía ;2013;0
Melilla;Oceanía ;2012;0
Melilla;Oceanía ;2011;0
