Penas y medidas;Comunidades y ciudades autónomas;Periodo;Total
Realización de tareas socio-educativas;Murcia, Región de;2023;3
Realización de tareas socio-educativas;Murcia, Región de;2022;3
Realización de tareas socio-educativas;Murcia, Región de;2021;3
Realización de tareas socio-educativas;Murcia, Región de;2020;1
Realización de tareas socio-educativas;Murcia, Región de;2019;3
Realización de tareas socio-educativas;Murcia, Región de;2018;1
Realización de tareas socio-educativas;Murcia, Región de;2017;3
Realización de tareas socio-educativas;Murcia, Región de;2016;1
Realización de tareas socio-educativas;Murcia, Región de;2015;1
Realización de tareas socio-educativas;Navarra, Comunidad Foral de;2023;0
Realización de tareas socio-educativas;Navarra, Comunidad Foral de;2022;1
Realización de tareas socio-educativas;Navarra, Comunidad Foral de;2021;0
Realización de tareas socio-educativas;Navarra, Comunidad Foral de;2020;0
Realización de tareas socio-educativas;Navarra, Comunidad Foral de;2019;1
Realización de tareas socio-educativas;Navarra, Comunidad Foral de;2018;0
Realización de tareas socio-educativas;Navarra, Comunidad Foral de;2017;3
Realización de tareas socio-educativas;Navarra, Comunidad Foral de;2016;0
Realización de tareas socio-educativas;Navarra, Comunidad Foral de;2015;0
Realización de tareas socio-educativas;País Vasco;2023;0
Realización de tareas socio-educativas;País Vasco;2022;0
Realización de tareas socio-educativas;País Vasco;2021;0
Realización de tareas socio-educativas;País Vasco;2020;1
Realización de tareas socio-educativas;País Vasco;2019;1
Realización de tareas socio-educativas;País Vasco;2018;0
Realización de tareas socio-educativas;País Vasco;2017;2
Realización de tareas socio-educativas;País Vasco;2016;2
Realización de tareas socio-educativas;País Vasco;2015;0
Realización de tareas socio-educativas;Rioja, La;2023;0
Realización de tareas socio-educativas;Rioja, La;2022;0
Realización de tareas socio-educativas;Rioja, La;2021;0
Realización de tareas socio-educativas;Rioja, La;2020;0
Realización de tareas socio-educativas;Rioja, La;2019;2
Realización de tareas socio-educativas;Rioja, La;2018;3
Realización de tareas socio-educativas;Rioja, La;2017;0
Realización de tareas socio-educativas;Rioja, La;2016;0
Realización de tareas socio-educativas;Rioja, La;2015;0
Realización de tareas socio-educativas;Ceuta;2023;0
Realización de tareas socio-educativas;Ceuta;2022;0
Realización de tareas socio-educativas;Ceuta;2021;0
Realización de tareas socio-educativas;Ceuta;2020;0
Realización de tareas socio-educativas;Ceuta;2019;0
Realización de tareas socio-educativas;Ceuta;2018;0
Realización de tareas socio-educativas;Ceuta;2017;0
Realización de tareas socio-educativas;Ceuta;2016;0
Realización de tareas socio-educativas;Ceuta;2015;0
Realización de tareas socio-educativas;Melilla;2023;0
Realización de tareas socio-educativas;Melilla;2022;0
Realización de tareas socio-educativas;Melilla;2021;0
Realización de tareas socio-educativas;Melilla;2020;0
Realización de tareas socio-educativas;Melilla;2019;0
Realización de tareas socio-educativas;Melilla;2018;0
Realización de tareas socio-educativas;Melilla;2017;0
Realización de tareas socio-educativas;Melilla;2016;0
Realización de tareas socio-educativas;Melilla;2015;0
Tratamiento ambulatorio;Total Nacional;2023;""
Tratamiento ambulatorio;Total Nacional;2022;""
Tratamiento ambulatorio;Total Nacional;2021;2
Tratamiento ambulatorio;Total Nacional;2020;""
Tratamiento ambulatorio;Total Nacional;2019;1
Tratamiento ambulatorio;Total Nacional;2018;2
Tratamiento ambulatorio;Total Nacional;2017;1
Tratamiento ambulatorio;Total Nacional;2016;1
Tratamiento ambulatorio;Total Nacional;2015;""
Tratamiento ambulatorio;Andalucía;2023;""
Tratamiento ambulatorio;Andalucía;2022;""
Tratamiento ambulatorio;Andalucía;2021;1
Tratamiento ambulatorio;Andalucía;2020;""
Tratamiento ambulatorio;Andalucía;2019;0
Tratamiento ambulatorio;Andalucía;2018;1
Tratamiento ambulatorio;Andalucía;2017;0
Tratamiento ambulatorio;Andalucía;2016;0
Tratamiento ambulatorio;Andalucía;2015;""
Tratamiento ambulatorio;Aragón;2023;""
Tratamiento ambulatorio;Aragón;2022;""
Tratamiento ambulatorio;Aragón;2021;1
Tratamiento ambulatorio;Aragón;2020;""
Tratamiento ambulatorio;Aragón;2019;0
Tratamiento ambulatorio;Aragón;2018;0
Tratamiento ambulatorio;Aragón;2017;0
Tratamiento ambulatorio;Aragón;2016;0
Tratamiento ambulatorio;Aragón;2015;""
Tratamiento ambulatorio;Asturias, Principado de;2023;""
Tratamiento ambulatorio;Asturias, Principado de;2022;""
Tratamiento ambulatorio;Asturias, Principado de;2021;0
Tratamiento ambulatorio;Asturias, Principado de;2020;""
Tratamiento ambulatorio;Asturias, Principado de;2019;0
Tratamiento ambulatorio;Asturias, Principado de;2018;0
Tratamiento ambulatorio;Asturias, Principado de;2017;0
Tratamiento ambulatorio;Asturias, Principado de;2016;0
Tratamiento ambulatorio;Asturias, Principado de;2015;""
Tratamiento ambulatorio;Balears, Illes;2023;""
Tratamiento ambulatorio;Balears, Illes;2022;""
Tratamiento ambulatorio;Balears, Illes;2021;0
Tratamiento ambulatorio;Balears, Illes;2020;""
Tratamiento ambulatorio;Balears, Illes;2019;0
Tratamiento ambulatorio;Balears, Illes;2018;0
Tratamiento ambulatorio;Balears, Illes;2017;0
Tratamiento ambulatorio;Balears, Illes;2016;0
Tratamiento ambulatorio;Balears, Illes;2015;""
Tratamiento ambulatorio;Canarias;2023;""
Tratamiento ambulatorio;Canarias;2022;""
Tratamiento ambulatorio;Canarias;2021;0
Tratamiento ambulatorio;Canarias;2020;""
Tratamiento ambulatorio;Canarias;2019;1
Tratamiento ambulatorio;Canarias;2018;0
Tratamiento ambulatorio;Canarias;2017;0
Tratamiento ambulatorio;Canarias;2016;0
Tratamiento ambulatorio;Canarias;2015;""
Tratamiento ambulatorio;Cantabria;2023;""
Tratamiento ambulatorio;Cantabria;2022;""
Tratamiento ambulatorio;Cantabria;2021;0
Tratamiento ambulatorio;Cantabria;2020;""
Tratamiento ambulatorio;Cantabria;2019;0
Tratamiento ambulatorio;Cantabria;2018;1
Tratamiento ambulatorio;Cantabria;2017;0
Tratamiento ambulatorio;Cantabria;2016;0
Tratamiento ambulatorio;Cantabria;2015;""
Tratamiento ambulatorio;Castilla y León;2023;""
Tratamiento ambulatorio;Castilla y León;2022;""
Tratamiento ambulatorio;Castilla y León;2021;0
Tratamiento ambulatorio;Castilla y León;2020;""
Tratamiento ambulatorio;Castilla y León;2019;0
Tratamiento ambulatorio;Castilla y León;2018;0
Tratamiento ambulatorio;Castilla y León;2017;0
Tratamiento ambulatorio;Castilla y León;2016;0
Tratamiento ambulatorio;Castilla y León;2015;""
Tratamiento ambulatorio;Castilla - La Mancha;2023;""
Tratamiento ambulatorio;Castilla - La Mancha;2022;""
Tratamiento ambulatorio;Castilla - La Mancha;2021;0
Tratamiento ambulatorio;Castilla - La Mancha;2020;""
Tratamiento ambulatorio;Castilla - La Mancha;2019;0
Tratamiento ambulatorio;Castilla - La Mancha;2018;0
Tratamiento ambulatorio;Castilla - La Mancha;2017;0
Tratamiento ambulatorio;Castilla - La Mancha;2016;0
Tratamiento ambulatorio;Castilla - La Mancha;2015;""
Tratamiento ambulatorio;Cataluña;2023;""
Tratamiento ambulatorio;Cataluña;2022;""
Tratamiento ambulatorio;Cataluña;2021;0
Tratamiento ambulatorio;Cataluña;2020;""
Tratamiento ambulatorio;Cataluña;2019;0
Tratamiento ambulatorio;Cataluña;2018;0
Tratamiento ambulatorio;Cataluña;2017;0
Tratamiento ambulatorio;Cataluña;2016;1
Tratamiento ambulatorio;Cataluña;2015;""
Tratamiento ambulatorio;Comunitat Valenciana;2023;""
Tratamiento ambulatorio;Comunitat Valenciana;2022;""
Tratamiento ambulatorio;Comunitat Valenciana;2021;0
Tratamiento ambulatorio;Comunitat Valenciana;2020;""
Tratamiento ambulatorio;Comunitat Valenciana;2019;0
Tratamiento ambulatorio;Comunitat Valenciana;2018;0
Tratamiento ambulatorio;Comunitat Valenciana;2017;0
Tratamiento ambulatorio;Comunitat Valenciana;2016;0
Tratamiento ambulatorio;Comunitat Valenciana;2015;""
Tratamiento ambulatorio;Extremadura;2023;""
Tratamiento ambulatorio;Extremadura;2022;""
Tratamiento ambulatorio;Extremadura;2021;0
Tratamiento ambulatorio;Extremadura;2020;""
Tratamiento ambulatorio;Extremadura;2019;0
Tratamiento ambulatorio;Extremadura;2018;0
Tratamiento ambulatorio;Extremadura;2017;0
Tratamiento ambulatorio;Extremadura;2016;0
Tratamiento ambulatorio;Extremadura;2015;""
Tratamiento ambulatorio;Galicia;2023;""
Tratamiento ambulatorio;Galicia;2022;""
Tratamiento ambulatorio;Galicia;2021;0
Tratamiento ambulatorio;Galicia;2020;""
Tratamiento ambulatorio;Galicia;2019;0
Tratamiento ambulatorio;Galicia;2018;0
Tratamiento ambulatorio;Galicia;2017;1
Tratamiento ambulatorio;Galicia;2016;0
Tratamiento ambulatorio;Galicia;2015;""
Tratamiento ambulatorio;Madrid, Comunidad de;2023;""
Tratamiento ambulatorio;Madrid, Comunidad de;2022;""
Tratamiento ambulatorio;Madrid, Comunidad de;2021;0
Tratamiento ambulatorio;Madrid, Comunidad de;2020;""
Tratamiento ambulatorio;Madrid, Comunidad de;2019;0
Tratamiento ambulatorio;Madrid, Comunidad de;2018;0
Tratamiento ambulatorio;Madrid, Comunidad de;2017;0
Tratamiento ambulatorio;Madrid, Comunidad de;2016;0
Tratamiento ambulatorio;Madrid, Comunidad de;2015;""
Tratamiento ambulatorio;Murcia, Región de;2023;""
Tratamiento ambulatorio;Murcia, Región de;2022;""
Tratamiento ambulatorio;Murcia, Región de;2021;0
Tratamiento ambulatorio;Murcia, Región de;2020;""
Tratamiento ambulatorio;Murcia, Región de;2019;0
Tratamiento ambulatorio;Murcia, Región de;2018;0
Tratamiento ambulatorio;Murcia, Región de;2017;0
Tratamiento ambulatorio;Murcia, Región de;2016;0
Tratamiento ambulatorio;Murcia, Región de;2015;""
Tratamiento ambulatorio;Navarra, Comunidad Foral de;2023;""
Tratamiento ambulatorio;Navarra, Comunidad Foral de;2022;""
Tratamiento ambulatorio;Navarra, Comunidad Foral de;2021;0
Tratamiento ambulatorio;Navarra, Comunidad Foral de;2020;""
Tratamiento ambulatorio;Navarra, Comunidad Foral de;2019;0
Tratamiento ambulatorio;Navarra, Comunidad Foral de;2018;0
Tratamiento ambulatorio;Navarra, Comunidad Foral de;2017;0
Tratamiento ambulatorio;Navarra, Comunidad Foral de;2016;0
Tratamiento ambulatorio;Navarra, Comunidad Foral de;2015;""
Tratamiento ambulatorio;País Vasco;2023;""
Tratamiento ambulatorio;País Vasco;2022;""
Tratamiento ambulatorio;País Vasco;2021;0
Tratamiento ambulatorio;País Vasco;2020;""
Tratamiento ambulatorio;País Vasco;2019;0
Tratamiento ambulatorio;País Vasco;2018;0
Tratamiento ambulatorio;País Vasco;2017;0
Tratamiento ambulatorio;País Vasco;2016;0
Tratamiento ambulatorio;País Vasco;2015;""
Tratamiento ambulatorio;Rioja, La;2023;""
Tratamiento ambulatorio;Rioja, La;2022;""
Tratamiento ambulatorio;Rioja, La;2021;0
Tratamiento ambulatorio;Rioja, La;2020;""
Tratamiento ambulatorio;Rioja, La;2019;0
Tratamiento ambulatorio;Rioja, La;2018;0
Tratamiento ambulatorio;Rioja, La;2017;0
Tratamiento ambulatorio;Rioja, La;2016;0
Tratamiento ambulatorio;Rioja, La;2015;""
Tratamiento ambulatorio;Ceuta;2023;""
Tratamiento ambulatorio;Ceuta;2022;""
Tratamiento ambulatorio;Ceuta;2021;0
Tratamiento ambulatorio;Ceuta;2020;""
Tratamiento ambulatorio;Ceuta;2019;0
Tratamiento ambulatorio;Ceuta;2018;0
Tratamiento ambulatorio;Ceuta;2017;0
Tratamiento ambulatorio;Ceuta;2016;0
Tratamiento ambulatorio;Ceuta;2015;""
Tratamiento ambulatorio;Melilla;2023;""
Tratamiento ambulatorio;Melilla;2022;""
Tratamiento ambulatorio;Melilla;2021;0
Tratamiento ambulatorio;Melilla;2020;""
Tratamiento ambulatorio;Melilla;2019;0
Tratamiento ambulatorio;Melilla;2018;0
Tratamiento ambulatorio;Melilla;2017;0
Tratamiento ambulatorio;Melilla;2016;0
Tratamiento ambulatorio;Melilla;2015;""
Otras medidas;Total Nacional;2023;4
Otras medidas;Total Nacional;2022;5
Otras medidas;Total Nacional;2021;6
Otras medidas;Total Nacional;2020;7
Otras medidas;Total Nacional;2019;12
Otras medidas;Total Nacional;2018;5
Otras medidas;Total Nacional;2017;7
Otras medidas;Total Nacional;2016;3
Otras medidas;Total Nacional;2015;""
Otras medidas;Andalucía;2023;4
Otras medidas;Andalucía;2022;2
Otras medidas;Andalucía;2021;0
Otras medidas;Andalucía;2020;0
Otras medidas;Andalucía;2019;0
Otras medidas;Andalucía;2018;2
Otras medidas;Andalucía;2017;0
Otras medidas;Andalucía;2016;2
Otras medidas;Andalucía;2015;""
Otras medidas;Aragón;2023;0
Otras medidas;Aragón;2022;0
Otras medidas;Aragón;2021;0
Otras medidas;Aragón;2020;0
Otras medidas;Aragón;2019;0
Otras medidas;Aragón;2018;0
Otras medidas;Aragón;2017;0
Otras medidas;Aragón;2016;0
Otras medidas;Aragón;2015;""
Otras medidas;Asturias, Principado de;2023;0
Otras medidas;Asturias, Principado de;2022;0
Otras medidas;Asturias, Principado de;2021;0
Otras medidas;Asturias, Principado de;2020;0
Otras medidas;Asturias, Principado de;2019;0
Otras medidas;Asturias, Principado de;2018;0
Otras medidas;Asturias, Principado de;2017;0
Otras medidas;Asturias, Principado de;2016;0
Otras medidas;Asturias, Principado de;2015;""
Otras medidas;Balears, Illes;2023;0
Otras medidas;Balears, Illes;2022;0
Otras medidas;Balears, Illes;2021;4
Otras medidas;Balears, Illes;2020;6
Otras medidas;Balears, Illes;2019;0
Otras medidas;Balears, Illes;2018;0
Otras medidas;Balears, Illes;2017;0
Otras medidas;Balears, Illes;2016;0
Otras medidas;Balears, Illes;2015;""
Otras medidas;Canarias;2023;0
Otras medidas;Canarias;2022;0
Otras medidas;Canarias;2021;0
Otras medidas;Canarias;2020;1
Otras medidas;Canarias;2019;0
Otras medidas;Canarias;2018;0
Otras medidas;Canarias;2017;0
Otras medidas;Canarias;2016;0
Otras medidas;Canarias;2015;""
Otras medidas;Cantabria;2023;0
Otras medidas;Cantabria;2022;0
Otras medidas;Cantabria;2021;0
Otras medidas;Cantabria;2020;0
Otras medidas;Cantabria;2019;0
Otras medidas;Cantabria;2018;0
Otras medidas;Cantabria;2017;0
Otras medidas;Cantabria;2016;0
Otras medidas;Cantabria;2015;""
Otras medidas;Castilla y León;2023;0
Otras medidas;Castilla y León;2022;0
Otras medidas;Castilla y León;2021;0
Otras medidas;Castilla y León;2020;0
Otras medidas;Castilla y León;2019;2
Otras medidas;Castilla y León;2018;0
Otras medidas;Castilla y León;2017;0
Otras medidas;Castilla y León;2016;0
Otras medidas;Castilla y León;2015;""
Otras medidas;Castilla - La Mancha;2023;0
Otras medidas;Castilla - La Mancha;2022;0
Otras medidas;Castilla - La Mancha;2021;0
Otras medidas;Castilla - La Mancha;2020;0
Otras medidas;Castilla - La Mancha;2019;0
Otras medidas;Castilla - La Mancha;2018;0
Otras medidas;Castilla - La Mancha;2017;1
Otras medidas;Castilla - La Mancha;2016;0
Otras medidas;Castilla - La Mancha;2015;""
Otras medidas;Cataluña;2023;0
Otras medidas;Cataluña;2022;0
Otras medidas;Cataluña;2021;1
Otras medidas;Cataluña;2020;0
Otras medidas;Cataluña;2019;0
Otras medidas;Cataluña;2018;2
Otras medidas;Cataluña;2017;0
Otras medidas;Cataluña;2016;0
Otras medidas;Cataluña;2015;""
Otras medidas;Comunitat Valenciana;2023;0
Otras medidas;Comunitat Valenciana;2022;2
Otras medidas;Comunitat Valenciana;2021;0
Otras medidas;Comunitat Valenciana;2020;0
Otras medidas;Comunitat Valenciana;2019;7
Otras medidas;Comunitat Valenciana;2018;0
Otras medidas;Comunitat Valenciana;2017;4
Otras medidas;Comunitat Valenciana;2016;1
Otras medidas;Comunitat Valenciana;2015;""
Otras medidas;Extremadura;2023;0
Otras medidas;Extremadura;2022;0
Otras medidas;Extremadura;2021;0
Otras medidas;Extremadura;2020;0
Otras medidas;Extremadura;2019;1
Otras medidas;Extremadura;2018;0
Otras medidas;Extremadura;2017;0
Otras medidas;Extremadura;2016;0
Otras medidas;Extremadura;2015;""
Otras medidas;Galicia;2023;0
Otras medidas;Galicia;2022;0
Otras medidas;Galicia;2021;0
Otras medidas;Galicia;2020;0
Otras medidas;Galicia;2019;0
Otras medidas;Galicia;2018;0
Otras medidas;Galicia;2017;2
Otras medidas;Galicia;2016;0
Otras medidas;Galicia;2015;""
Otras medidas;Madrid, Comunidad de;2023;0
Otras medidas;Madrid, Comunidad de;2022;1
Otras medidas;Madrid, Comunidad de;2021;0
Otras medidas;Madrid, Comunidad de;2020;0
Otras medidas;Madrid, Comunidad de;2019;1
Otras medidas;Madrid, Comunidad de;2018;0
Otras medidas;Madrid, Comunidad de;2017;0
Otras medidas;Madrid, Comunidad de;2016;0
Otras medidas;Madrid, Comunidad de;2015;""
Otras medidas;Murcia, Región de;2023;0
Otras medidas;Murcia, Región de;2022;0
Otras medidas;Murcia, Región de;2021;1
Otras medidas;Murcia, Región de;2020;0
Otras medidas;Murcia, Región de;2019;0
Otras medidas;Murcia, Región de;2018;0
Otras medidas;Murcia, Región de;2017;0
Otras medidas;Murcia, Región de;2016;0
Otras medidas;Murcia, Región de;2015;""
Otras medidas;Navarra, Comunidad Foral de;2023;0
Otras medidas;Navarra, Comunidad Foral de;2022;0
Otras medidas;Navarra, Comunidad Foral de;2021;0
Otras medidas;Navarra, Comunidad Foral de;2020;0
Otras medidas;Navarra, Comunidad Foral de;2019;0
Otras medidas;Navarra, Comunidad Foral de;2018;0
Otras medidas;Navarra, Comunidad Foral de;2017;0
Otras medidas;Navarra, Comunidad Foral de;2016;0
Otras medidas;Navarra, Comunidad Foral de;2015;""
Otras medidas;País Vasco;2023;0
Otras medidas;País Vasco;2022;0
Otras medidas;País Vasco;2021;0
Otras medidas;País Vasco;2020;0
Otras medidas;País Vasco;2019;0
Otras medidas;País Vasco;2018;0
Otras medidas;País Vasco;2017;0
Otras medidas;País Vasco;2016;0
Otras medidas;País Vasco;2015;""
Otras medidas;Rioja, La;2023;0
Otras medidas;Rioja, La;2022;0
Otras medidas;Rioja, La;2021;0
Otras medidas;Rioja, La;2020;0
Otras medidas;Rioja, La;2019;1
Otras medidas;Rioja, La;2018;1
Otras medidas;Rioja, La;2017;0
Otras medidas;Rioja, La;2016;0
Otras medidas;Rioja, La;2015;""
Otras medidas;Ceuta;2023;0
Otras medidas;Ceuta;2022;0
Otras medidas;Ceuta;2021;0
Otras medidas;Ceuta;2020;0
Otras medidas;Ceuta;2019;0
Otras medidas;Ceuta;2018;0
Otras medidas;Ceuta;2017;0
Otras medidas;Ceuta;2016;0
Otras medidas;Ceuta;2015;""
Otras medidas;Melilla;2023;0
Otras medidas;Melilla;2022;0
Otras medidas;Melilla;2021;0
Otras medidas;Melilla;2020;0
Otras medidas;Melilla;2019;0
Otras medidas;Melilla;2018;0
Otras medidas;Melilla;2017;0
Otras medidas;Melilla;2016;0
Otras medidas;Melilla;2015;""
Medidas de seguridad y otras;Total Nacional;2023;7.559
Medidas de seguridad y otras;Total Nacional;2022;7.306
Medidas de seguridad y otras;Total Nacional;2021;7.822
Medidas de seguridad y otras;Total Nacional;2020;5.598
Medidas de seguridad y otras;Total Nacional;2019;6.264
Medidas de seguridad y otras;Total Nacional;2018;5.635
Medidas de seguridad y otras;Total Nacional;2017;4.281
Medidas de seguridad y otras;Total Nacional;2016;3.488
Medidas de seguridad y otras;Total Nacional;2015;2.576
Medidas de seguridad y otras;Andalucía;2023;1.628
Medidas de seguridad y otras;Andalucía;2022;1.402
Medidas de seguridad y otras;Andalucía;2021;1.783
Medidas de seguridad y otras;Andalucía;2020;1.234
Medidas de seguridad y otras;Andalucía;2019;1.248
Medidas de seguridad y otras;Andalucía;2018;1.309
Medidas de seguridad y otras;Andalucía;2017;815
Medidas de seguridad y otras;Andalucía;2016;744
Medidas de seguridad y otras;Andalucía;2015;421
Medidas de seguridad y otras;Aragón;2023;360
Medidas de seguridad y otras;Aragón;2022;457
Medidas de seguridad y otras;Aragón;2021;596
Medidas de seguridad y otras;Aragón;2020;419
Medidas de seguridad y otras;Aragón;2019;400
Medidas de seguridad y otras;Aragón;2018;312
Medidas de seguridad y otras;Aragón;2017;255
Medidas de seguridad y otras;Aragón;2016;150
Medidas de seguridad y otras;Aragón;2015;41
Medidas de seguridad y otras;Asturias, Principado de;2023;110
Medidas de seguridad y otras;Asturias, Principado de;2022;150
Medidas de seguridad y otras;Asturias, Principado de;2021;185
Medidas de seguridad y otras;Asturias, Principado de;2020;117
Medidas de seguridad y otras;Asturias, Principado de;2019;172
Medidas de seguridad y otras;Asturias, Principado de;2018;157
Medidas de seguridad y otras;Asturias, Principado de;2017;116
Medidas de seguridad y otras;Asturias, Principado de;2016;127
Medidas de seguridad y otras;Asturias, Principado de;2015;111
Medidas de seguridad y otras;Balears, Illes;2023;221
Medidas de seguridad y otras;Balears, Illes;2022;215
Medidas de seguridad y otras;Balears, Illes;2021;229
Medidas de seguridad y otras;Balears, Illes;2020;175
Medidas de seguridad y otras;Balears, Illes;2019;233
Medidas de seguridad y otras;Balears, Illes;2018;190
Medidas de seguridad y otras;Balears, Illes;2017;167
Medidas de seguridad y otras;Balears, Illes;2016;84
Medidas de seguridad y otras;Balears, Illes;2015;48
Medidas de seguridad y otras;Canarias;2023;132
Medidas de seguridad y otras;Canarias;2022;159
Medidas de seguridad y otras;Canarias;2021;303
Medidas de seguridad y otras;Canarias;2020;205
Medidas de seguridad y otras;Canarias;2019;266
Medidas de seguridad y otras;Canarias;2018;413
Medidas de seguridad y otras;Canarias;2017;381
Medidas de seguridad y otras;Canarias;2016;318
Medidas de seguridad y otras;Canarias;2015;221
Medidas de seguridad y otras;Cantabria;2023;37
Medidas de seguridad y otras;Cantabria;2022;37
Medidas de seguridad y otras;Cantabria;2021;36
Medidas de seguridad y otras;Cantabria;2020;32
Medidas de seguridad y otras;Cantabria;2019;35
Medidas de seguridad y otras;Cantabria;2018;94
Medidas de seguridad y otras;Cantabria;2017;114
Medidas de seguridad y otras;Cantabria;2016;27
Medidas de seguridad y otras;Cantabria;2015;11
Medidas de seguridad y otras;Castilla y León;2023;145
Medidas de seguridad y otras;Castilla y León;2022;137
Medidas de seguridad y otras;Castilla y León;2021;217
Medidas de seguridad y otras;Castilla y León;2020;132
Medidas de seguridad y otras;Castilla y León;2019;84
Medidas de seguridad y otras;Castilla y León;2018;69
Medidas de seguridad y otras;Castilla y León;2017;86
Medidas de seguridad y otras;Castilla y León;2016;61
Medidas de seguridad y otras;Castilla y León;2015;44
Medidas de seguridad y otras;Castilla - La Mancha;2023;226
Medidas de seguridad y otras;Castilla - La Mancha;2022;194
Medidas de seguridad y otras;Castilla - La Mancha;2021;251
Medidas de seguridad y otras;Castilla - La Mancha;2020;159
Medidas de seguridad y otras;Castilla - La Mancha;2019;149
Medidas de seguridad y otras;Castilla - La Mancha;2018;101
Medidas de seguridad y otras;Castilla - La Mancha;2017;99
Medidas de seguridad y otras;Castilla - La Mancha;2016;72
Medidas de seguridad y otras;Castilla - La Mancha;2015;39
Medidas de seguridad y otras;Cataluña;2023;913
Medidas de seguridad y otras;Cataluña;2022;818
Medidas de seguridad y otras;Cataluña;2021;926
Medidas de seguridad y otras;Cataluña;2020;636
Medidas de seguridad y otras;Cataluña;2019;812
Medidas de seguridad y otras;Cataluña;2018;631
Medidas de seguridad y otras;Cataluña;2017;533
Medidas de seguridad y otras;Cataluña;2016;561
Medidas de seguridad y otras;Cataluña;2015;504
Medidas de seguridad y otras;Comunitat Valenciana;2023;1.042
Medidas de seguridad y otras;Comunitat Valenciana;2022;1.014
Medidas de seguridad y otras;Comunitat Valenciana;2021;893
Medidas de seguridad y otras;Comunitat Valenciana;2020;822
Medidas de seguridad y otras;Comunitat Valenciana;2019;818
Medidas de seguridad y otras;Comunitat Valenciana;2018;805
Medidas de seguridad y otras;Comunitat Valenciana;2017;551
Medidas de seguridad y otras;Comunitat Valenciana;2016;419
Medidas de seguridad y otras;Comunitat Valenciana;2015;299
Medidas de seguridad y otras;Extremadura;2023;243
Medidas de seguridad y otras;Extremadura;2022;220
Medidas de seguridad y otras;Extremadura;2021;183
Medidas de seguridad y otras;Extremadura;2020;144
Medidas de seguridad y otras;Extremadura;2019;133
Medidas de seguridad y otras;Extremadura;2018;89
Medidas de seguridad y otras;Extremadura;2017;128
Medidas de seguridad y otras;Extremadura;2016;117
Medidas de seguridad y otras;Extremadura;2015;102
Medidas de seguridad y otras;Galicia;2023;406
Medidas de seguridad y otras;Galicia;2022;457
Medidas de seguridad y otras;Galicia;2021;396
Medidas de seguridad y otras;Galicia;2020;304
Medidas de seguridad y otras;Galicia;2019;383
Medidas de seguridad y otras;Galicia;2018;203
Medidas de seguridad y otras;Galicia;2017;163
Medidas de seguridad y otras;Galicia;2016;118
Medidas de seguridad y otras;Galicia;2015;84
Medidas de seguridad y otras;Madrid, Comunidad de;2023;889
Medidas de seguridad y otras;Madrid, Comunidad de;2022;787
Medidas de seguridad y otras;Madrid, Comunidad de;2021;710
Medidas de seguridad y otras;Madrid, Comunidad de;2020;516
Medidas de seguridad y otras;Madrid, Comunidad de;2019;618
Medidas de seguridad y otras;Madrid, Comunidad de;2018;540
Medidas de seguridad y otras;Madrid, Comunidad de;2017;445
Medidas de seguridad y otras;Madrid, Comunidad de;2016;360
Medidas de seguridad y otras;Madrid, Comunidad de;2015;445
Medidas de seguridad y otras;Murcia, Región de;2023;482
Medidas de seguridad y otras;Murcia, Región de;2022;358
Medidas de seguridad y otras;Murcia, Región de;2021;462
Medidas de seguridad y otras;Murcia, Región de;2020;260
Medidas de seguridad y otras;Murcia, Región de;2019;284
Medidas de seguridad y otras;Murcia, Región de;2018;163
Medidas de seguridad y otras;Murcia, Región de;2017;94
Medidas de seguridad y otras;Murcia, Región de;2016;69
Medidas de seguridad y otras;Murcia, Región de;2015;22
Medidas de seguridad y otras;Navarra, Comunidad Foral de;2023;355
Medidas de seguridad y otras;Navarra, Comunidad Foral de;2022;580
Medidas de seguridad y otras;Navarra, Comunidad Foral de;2021;409
Medidas de seguridad y otras;Navarra, Comunidad Foral de;2020;332
Medidas de seguridad y otras;Navarra, Comunidad Foral de;2019;480
Medidas de seguridad y otras;Navarra, Comunidad Foral de;2018;404
Medidas de seguridad y otras;Navarra, Comunidad Foral de;2017;265
Medidas de seguridad y otras;Navarra, Comunidad Foral de;2016;173
Medidas de seguridad y otras;Navarra, Comunidad Foral de;2015;103
Medidas de seguridad y otras;País Vasco;2023;78
Medidas de seguridad y otras;País Vasco;2022;83
Medidas de seguridad y otras;País Vasco;2021;58
Medidas de seguridad y otras;País Vasco;2020;12
Medidas de seguridad y otras;País Vasco;2019;18
Medidas de seguridad y otras;País Vasco;2018;60
Medidas de seguridad y otras;País Vasco;2017;57
Medidas de seguridad y otras;País Vasco;2016;65
Medidas de seguridad y otras;País Vasco;2015;31
Medidas de seguridad y otras;Rioja, La;2023;282
Medidas de seguridad y otras;Rioja, La;2022;231
Medidas de seguridad y otras;Rioja, La;2021;167
Medidas de seguridad y otras;Rioja, La;2020;92
Medidas de seguridad y otras;Rioja, La;2019;128
Medidas de seguridad y otras;Rioja, La;2018;81
Medidas de seguridad y otras;Rioja, La;2017;10
Medidas de seguridad y otras;Rioja, La;2016;20
Medidas de seguridad y otras;Rioja, La;2015;39
Medidas de seguridad y otras;Ceuta;2023;10
Medidas de seguridad y otras;Ceuta;2022;5
Medidas de seguridad y otras;Ceuta;2021;12
Medidas de seguridad y otras;Ceuta;2020;0
Medidas de seguridad y otras;Ceuta;2019;1
