Penas y medidas;Comunidades y ciudades autónomas;Periodo;Total
Total penas y medidas;Navarra, Comunidad Foral de;2018;2.203
Total penas y medidas;Navarra, Comunidad Foral de;2017;1.946
Total penas y medidas;Navarra, Comunidad Foral de;2016;1.657
Total penas y medidas;Navarra, Comunidad Foral de;2015;1.491
Total penas y medidas;País Vasco;2023;11.344
Total penas y medidas;País Vasco;2022;10.434
Total penas y medidas;País Vasco;2021;9.476
Total penas y medidas;País Vasco;2020;6.515
Total penas y medidas;País Vasco;2019;8.529
Total penas y medidas;País Vasco;2018;6.458
Total penas y medidas;País Vasco;2017;5.936
Total penas y medidas;País Vasco;2016;5.802
Total penas y medidas;País Vasco;2015;5.683
Total penas y medidas;Rioja, La;2023;2.059
Total penas y medidas;Rioja, La;2022;2.012
Total penas y medidas;Rioja, La;2021;1.451
Total penas y medidas;Rioja, La;2020;1.004
Total penas y medidas;Rioja, La;2019;1.301
Total penas y medidas;Rioja, La;2018;1.309
Total penas y medidas;Rioja, La;2017;1.089
Total penas y medidas;Rioja, La;2016;1.001
Total penas y medidas;Rioja, La;2015;961
Total penas y medidas;Ceuta;2023;622
Total penas y medidas;Ceuta;2022;457
Total penas y medidas;Ceuta;2021;388
Total penas y medidas;Ceuta;2020;309
Total penas y medidas;Ceuta;2019;258
Total penas y medidas;Ceuta;2018;308
Total penas y medidas;Ceuta;2017;288
Total penas y medidas;Ceuta;2016;257
Total penas y medidas;Ceuta;2015;190
Total penas y medidas;Melilla;2023;457
Total penas y medidas;Melilla;2022;450
Total penas y medidas;Melilla;2021;328
Total penas y medidas;Melilla;2020;255
Total penas y medidas;Melilla;2019;328
Total penas y medidas;Melilla;2018;304
Total penas y medidas;Melilla;2017;341
Total penas y medidas;Melilla;2016;339
Total penas y medidas;Melilla;2015;334
Penas;Total Nacional;2023;198.306
Penas;Total Nacional;2022;188.461
Penas;Total Nacional;2021;174.053
Penas;Total Nacional;2020;128.480
Penas;Total Nacional;2019;156.800
Penas;Total Nacional;2018;142.169
Penas;Total Nacional;2017;136.301
Penas;Total Nacional;2016;129.450
Penas;Total Nacional;2015;123.650
Penas;Andalucía;2023;37.887
Penas;Andalucía;2022;36.654
Penas;Andalucía;2021;35.322
Penas;Andalucía;2020;26.989
Penas;Andalucía;2019;32.945
Penas;Andalucía;2018;30.286
Penas;Andalucía;2017;29.110
Penas;Andalucía;2016;26.696
Penas;Andalucía;2015;25.650
Penas;Aragón;2023;5.519
Penas;Aragón;2022;4.808
Penas;Aragón;2021;4.162
Penas;Aragón;2020;3.235
Penas;Aragón;2019;3.620
Penas;Aragón;2018;3.697
Penas;Aragón;2017;3.540
Penas;Aragón;2016;3.242
Penas;Aragón;2015;2.564
Penas;Asturias, Principado de;2023;3.889
Penas;Asturias, Principado de;2022;4.987
Penas;Asturias, Principado de;2021;4.079
Penas;Asturias, Principado de;2020;2.727
Penas;Asturias, Principado de;2019;3.710
Penas;Asturias, Principado de;2018;3.416
Penas;Asturias, Principado de;2017;3.414
Penas;Asturias, Principado de;2016;3.178
Penas;Asturias, Principado de;2015;2.704
Penas;Balears, Illes;2023;6.777
Penas;Balears, Illes;2022;6.363
Penas;Balears, Illes;2021;6.147
Penas;Balears, Illes;2020;4.732
Penas;Balears, Illes;2019;6.563
Penas;Balears, Illes;2018;5.398
Penas;Balears, Illes;2017;5.624
Penas;Balears, Illes;2016;5.713
Penas;Balears, Illes;2015;4.324
Penas;Canarias;2023;14.515
Penas;Canarias;2022;12.913
Penas;Canarias;2021;12.646
Penas;Canarias;2020;10.264
Penas;Canarias;2019;11.607
Penas;Canarias;2018;10.392
Penas;Canarias;2017;9.532
Penas;Canarias;2016;9.066
Penas;Canarias;2015;8.388
Penas;Cantabria;2023;2.587
Penas;Cantabria;2022;2.230
Penas;Cantabria;2021;2.001
Penas;Cantabria;2020;1.621
Penas;Cantabria;2019;1.961
Penas;Cantabria;2018;2.126
Penas;Cantabria;2017;1.626
Penas;Cantabria;2016;1.457
Penas;Cantabria;2015;1.394
Penas;Castilla y León;2023;7.400
Penas;Castilla y León;2022;7.206
Penas;Castilla y León;2021;6.672
Penas;Castilla y León;2020;4.427
Penas;Castilla y León;2019;5.766
Penas;Castilla y León;2018;5.396
Penas;Castilla y León;2017;5.346
Penas;Castilla y León;2016;5.274
Penas;Castilla y León;2015;5.299
Penas;Castilla - La Mancha;2023;7.304
Penas;Castilla - La Mancha;2022;7.428
Penas;Castilla - La Mancha;2021;6.748
Penas;Castilla - La Mancha;2020;4.758
Penas;Castilla - La Mancha;2019;5.988
Penas;Castilla - La Mancha;2018;5.771
Penas;Castilla - La Mancha;2017;5.495
Penas;Castilla - La Mancha;2016;5.416
Penas;Castilla - La Mancha;2015;5.378
Penas;Cataluña;2023;21.807
Penas;Cataluña;2022;20.777
Penas;Cataluña;2021;20.282
Penas;Cataluña;2020;14.588
Penas;Cataluña;2019;16.534
Penas;Cataluña;2018;15.396
Penas;Cataluña;2017;14.420
Penas;Cataluña;2016;14.928
Penas;Cataluña;2015;14.396
Penas;Comunitat Valenciana;2023;29.341
Penas;Comunitat Valenciana;2022;27.788
Penas;Comunitat Valenciana;2021;25.549
